context_token_position_0;context_token_position_1;context_token_position_2;context_token_position_3;context_token_position_4;input_token_position_0;input_token_position_1;input_token_position_2;input_token_position_3;target_token_position_0;target_token_position_1;target_token_position_2;target_token_position_3
2;4;6;20;3;2;4;6;20;4;6;20;3
2;4;6;21;3;2;4;6;21;4;6;21;3
2;4;6;22;3;2;4;6;22;4;6;22;3
2;4;6;23;3;2;4;6;23;4;6;23;3
2;4;6;24;3;2;4;6;24;4;6;24;3
2;4;6;25;3;2;4;6;25;4;6;25;3
2;4;6;26;3;2;4;6;26;4;6;26;3
2;4;6;27;3;2;4;6;27;4;6;27;3
2;4;6;28;3;2;4;6;28;4;6;28;3
2;4;6;29;3;2;4;6;29;4;6;29;3
2;4;7;4;3;2;4;7;4;4;7;4;3
2;4;7;5;3;2;4;7;5;4;7;5;3
2;4;7;6;3;2;4;7;6;4;7;6;3
2;4;7;7;3;2;4;7;7;4;7;7;3
2;4;7;8;3;2;4;7;8;4;7;8;3
2;4;7;9;3;2;4;7;9;4;7;9;3
2;4;7;10;3;2;4;7;10;4;7;10;3
2;4;7;11;3;2;4;7;11;4;7;11;3
2;4;7;12;3;2;4;7;12;4;7;12;3
2;4;7;13;3;2;4;7;13;4;7;13;3
2;4;7;14;3;2;4;7;14;4;7;14;3
2;4;7;15;3;2;4;7;15;4;7;15;3
2;4;7;16;3;2;4;7;16;4;7;16;3
2;4;7;17;3;2;4;7;17;4;7;17;3
2;4;7;18;3;2;4;7;18;4;7;18;3
2;4;7;19;3;2;4;7;19;4;7;19;3
2;4;7;20;3;2;4;7;20;4;7;20;3
2;4;7;21;3;2;4;7;21;4;7;21;3
2;4;7;22;3;2;4;7;22;4;7;22;3
2;4;7;23;3;2;4;7;23;4;7;23;3
2;4;7;24;3;2;4;7;24;4;7;24;3
2;4;7;25;3;2;4;7;25;4;7;25;3
2;4;7;26;3;2;4;7;26;4;7;26;3
2;4;7;27;3;2;4;7;27;4;7;27;3
2;4;7;28;3;2;4;7;28;4;7;28;3
2;4;7;29;3;2;4;7;29;4;7;29;3
2;4;8;4;3;2;4;8;4;4;8;4;3
2;4;8;5;3;2;4;8;5;4;8;5;3
2;4;8;6;3;2;4;8;6;4;8;6;3
2;4;8;7;3;2;4;8;7;4;8;7;3
2;4;8;8;3;2;4;8;8;4;8;8;3
2;4;8;9;3;2;4;8;9;4;8;9;3
2;4;8;10;3;2;4;8;10;4;8;10;3
2;4;8;11;3;2;4;8;11;4;8;11;3
2;4;8;12;3;2;4;8;12;4;8;12;3
2;4;8;13;3;2;4;8;13;4;8;13;3
2;4;8;14;3;2;4;8;14;4;8;14;3
2;4;8;15;3;2;4;8;15;4;8;15;3
2;4;8;16;3;2;4;8;16;4;8;16;3
2;4;8;17;3;2;4;8;17;4;8;17;3
2;4;8;18;3;2;4;8;18;4;8;18;3
2;4;8;19;3;2;4;8;19;4;8;19;3
2;4;8;20;3;2;4;8;20;4;8;20;3
2;4;8;21;3;2;4;8;21;4;8;21;3
2;4;8;22;3;2;4;8;22;4;8;22;3
2;4;8;23;3;2;4;8;23;4;8;23;3
2;4;8;24;3;2;4;8;24;4;8;24;3
2;4;8;25;3;2;4;8;25;4;8;25;3
2;4;8;26;3;2;4;8;26;4;8;26;3
2;4;8;27;3;2;4;8;27;4;8;27;3
2;4;8;28;3;2;4;8;28;4;8;28;3
2;4;8;29;3;2;4;8;29;4;8;29;3
2;4;9;4;3;2;4;9;4;4;9;4;3
2;4;9;5;3;2;4;9;5;4;9;5;3
2;4;9;6;3;2;4;9;6;4;9;6;3
2;4;9;7;3;2;4;9;7;4;9;7;3
2;4;9;8;3;2;4;9;8;4;9;8;3
2;4;9;9;3;2;4;9;9;4;9;9;3
2;4;9;10;3;2;4;9;10;4;9;10;3
2;4;9;11;3;2;4;9;11;4;9;11;3
2;4;9;12;3;2;4;9;12;4;9;12;3
2;4;9;13;3;2;4;9;13;4;9;13;3
2;4;9;14;3;2;4;9;14;4;9;14;3
2;4;9;15;3;2;4;9;15;4;9;15;3
2;4;9;16;3;2;4;9;16;4;9;16;3
2;4;9;17;3;2;4;9;17;4;9;17;3
2;4;9;18;3;2;4;9;18;4;9;18;3
2;4;9;19;3;2;4;9;19;4;9;19;3
2;4;9;20;3;2;4;9;20;4;9;20;3
2;4;9;21;3;2;4;9;21;4;9;21;3
2;4;9;22;3;2;4;9;22;4;9;22;3
2;4;9;23;3;2;4;9;23;4;9;23;3
2;4;9;24;3;2;4;9;24;4;9;24;3
2;4;9;25;3;2;4;9;25;4;9;25;3
2;4;9;26;3;2;4;9;26;4;9;26;3
2;4;9;27;3;2;4;9;27;4;9;27;3
2;4;9;28;3;2;4;9;28;4;9;28;3
2;4;9;29;3;2;4;9;29;4;9;29;3
2;4;10;4;3;2;4;10;4;4;10;4;3
2;4;10;5;3;2;4;10;5;4;10;5;3
2;4;10;6;3;2;4;10;6;4;10;6;3
2;4;10;7;3;2;4;10;7;4;10;7;3
2;4;10;8;3;2;4;10;8;4;10;8;3
2;4;10;9;3;2;4;10;9;4;10;9;3
2;4;10;10;3;2;4;10;10;4;10;10;3
2;4;10;11;3;2;4;10;11;4;10;11;3
2;4;10;12;3;2;4;10;12;4;10;12;3
2;4;10;13;3;2;4;10;13;4;10;13;3
2;4;10;14;3;2;4;10;14;4;10;14;3
2;4;10;15;3;2;4;10;15;4;10;15;3
2;4;10;16;3;2;4;10;16;4;10;16;3
2;4;10;17;3;2;4;10;17;4;10;17;3
2;4;10;18;3;2;4;10;18;4;10;18;3
2;4;10;19;3;2;4;10;19;4;10;19;3
2;4;10;20;3;2;4;10;20;4;10;20;3
2;4;10;21;3;2;4;10;21;4;10;21;3
2;4;10;22;3;2;4;10;22;4;10;22;3
2;4;10;23;3;2;4;10;23;4;10;23;3
2;4;10;24;3;2;4;10;24;4;10;24;3
2;4;10;25;3;2;4;10;25;4;10;25;3
2;4;10;26;3;2;4;10;26;4;10;26;3
2;4;10;27;3;2;4;10;27;4;10;27;3
2;4;10;28;3;2;4;10;28;4;10;28;3
2;4;10;29;3;2;4;10;29;4;10;29;3
2;4;11;4;3;2;4;11;4;4;11;4;3
2;4;11;5;3;2;4;11;5;4;11;5;3
2;4;11;6;3;2;4;11;6;4;11;6;3
2;4;11;7;3;2;4;11;7;4;11;7;3
2;4;11;8;3;2;4;11;8;4;11;8;3
2;4;11;9;3;2;4;11;9;4;11;9;3
2;4;11;10;3;2;4;11;10;4;11;10;3
2;4;11;11;3;2;4;11;11;4;11;11;3
2;4;11;12;3;2;4;11;12;4;11;12;3
2;4;11;13;3;2;4;11;13;4;11;13;3
2;4;11;14;3;2;4;11;14;4;11;14;3
2;4;11;15;3;2;4;11;15;4;11;15;3
2;4;11;16;3;2;4;11;16;4;11;16;3
2;4;11;17;3;2;4;11;17;4;11;17;3
2;4;11;18;3;2;4;11;18;4;11;18;3
2;4;11;19;3;2;4;11;19;4;11;19;3
2;4;11;20;3;2;4;11;20;4;11;20;3
2;4;11;21;3;2;4;11;21;4;11;21;3
2;4;11;22;3;2;4;11;22;4;11;22;3
2;4;11;23;3;2;4;11;23;4;11;23;3
2;4;11;24;3;2;4;11;24;4;11;24;3
2;4;11;25;3;2;4;11;25;4;11;25;3
2;4;11;26;3;2;4;11;26;4;11;26;3
2;4;11;27;3;2;4;11;27;4;11;27;3
2;4;11;28;3;2;4;11;28;4;11;28;3
2;4;11;29;3;2;4;11;29;4;11;29;3
2;4;12;4;3;2;4;12;4;4;12;4;3
2;4;12;5;3;2;4;12;5;4;12;5;3
2;4;12;6;3;2;4;12;6;4;12;6;3
2;4;12;7;3;2;4;12;7;4;12;7;3
2;4;12;8;3;2;4;12;8;4;12;8;3
2;4;12;9;3;2;4;12;9;4;12;9;3
2;4;12;10;3;2;4;12;10;4;12;10;3
2;4;12;11;3;2;4;12;11;4;12;11;3
2;4;12;12;3;2;4;12;12;4;12;12;3
2;4;12;13;3;2;4;12;13;4;12;13;3
2;4;12;14;3;2;4;12;14;4;12;14;3
2;4;12;15;3;2;4;12;15;4;12;15;3
2;4;12;16;3;2;4;12;16;4;12;16;3
2;4;12;17;3;2;4;12;17;4;12;17;3
2;4;12;18;3;2;4;12;18;4;12;18;3
2;4;12;19;3;2;4;12;19;4;12;19;3
2;4;12;20;3;2;4;12;20;4;12;20;3
2;4;12;21;3;2;4;12;21;4;12;21;3
2;4;12;22;3;2;4;12;22;4;12;22;3
2;4;12;23;3;2;4;12;23;4;12;23;3
2;4;12;24;3;2;4;12;24;4;12;24;3
2;4;12;25;3;2;4;12;25;4;12;25;3
2;4;12;26;3;2;4;12;26;4;12;26;3
2;4;12;27;3;2;4;12;27;4;12;27;3
2;4;12;28;3;2;4;12;28;4;12;28;3
2;4;12;29;3;2;4;12;29;4;12;29;3
2;4;13;4;3;2;4;13;4;4;13;4;3
2;4;13;5;3;2;4;13;5;4;13;5;3
2;4;13;6;3;2;4;13;6;4;13;6;3
2;4;13;7;3;2;4;13;7;4;13;7;3
2;4;13;8;3;2;4;13;8;4;13;8;3
2;4;13;9;3;2;4;13;9;4;13;9;3
2;4;13;10;3;2;4;13;10;4;13;10;3
2;4;13;11;3;2;4;13;11;4;13;11;3
2;4;13;12;3;2;4;13;12;4;13;12;3
2;4;13;13;3;2;4;13;13;4;13;13;3
2;4;13;14;3;2;4;13;14;4;13;14;3
2;4;13;15;3;2;4;13;15;4;13;15;3
2;4;13;16;3;2;4;13;16;4;13;16;3
2;4;13;17;3;2;4;13;17;4;13;17;3
2;4;13;18;3;2;4;13;18;4;13;18;3
2;4;13;19;3;2;4;13;19;4;13;19;3
2;4;13;20;3;2;4;13;20;4;13;20;3
2;4;13;21;3;2;4;13;21;4;13;21;3
2;4;13;22;3;2;4;13;22;4;13;22;3
2;4;13;23;3;2;4;13;23;4;13;23;3
2;4;13;24;3;2;4;13;24;4;13;24;3
2;4;13;25;3;2;4;13;25;4;13;25;3
2;4;13;26;3;2;4;13;26;4;13;26;3
2;4;13;27;3;2;4;13;27;4;13;27;3
2;4;13;28;3;2;4;13;28;4;13;28;3
2;4;13;29;3;2;4;13;29;4;13;29;3
2;4;14;4;3;2;4;14;4;4;14;4;3
2;4;14;5;3;2;4;14;5;4;14;5;3
2;4;14;6;3;2;4;14;6;4;14;6;3
2;4;14;7;3;2;4;14;7;4;14;7;3
2;4;14;8;3;2;4;14;8;4;14;8;3
2;4;14;9;3;2;4;14;9;4;14;9;3
2;4;14;10;3;2;4;14;10;4;14;10;3
2;4;14;11;3;2;4;14;11;4;14;11;3
2;4;14;12;3;2;4;14;12;4;14;12;3
2;4;14;13;3;2;4;14;13;4;14;13;3
2;4;14;14;3;2;4;14;14;4;14;14;3
2;4;14;15;3;2;4;14;15;4;14;15;3
2;4;14;16;3;2;4;14;16;4;14;16;3
2;4;14;17;3;2;4;14;17;4;14;17;3
2;4;14;18;3;2;4;14;18;4;14;18;3
2;4;14;19;3;2;4;14;19;4;14;19;3
2;4;14;20;3;2;4;14;20;4;14;20;3
2;4;14;21;3;2;4;14;21;4;14;21;3
2;4;14;22;3;2;4;14;22;4;14;22;3
2;4;14;23;3;2;4;14;23;4;14;23;3
2;4;14;24;3;2;4;14;24;4;14;24;3
2;4;14;25;3;2;4;14;25;4;14;25;3
2;4;14;26;3;2;4;14;26;4;14;26;3
2;4;14;27;3;2;4;14;27;4;14;27;3
2;4;14;28;3;2;4;14;28;4;14;28;3
2;4;14;29;3;2;4;14;29;4;14;29;3
2;4;15;4;3;2;4;15;4;4;15;4;3
2;4;15;5;3;2;4;15;5;4;15;5;3
2;4;15;6;3;2;4;15;6;4;15;6;3
2;4;15;7;3;2;4;15;7;4;15;7;3
2;4;15;8;3;2;4;15;8;4;15;8;3
2;4;15;9;3;2;4;15;9;4;15;9;3
2;4;15;10;3;2;4;15;10;4;15;10;3
2;4;15;11;3;2;4;15;11;4;15;11;3
2;4;15;12;3;2;4;15;12;4;15;12;3
2;4;15;13;3;2;4;15;13;4;15;13;3
2;4;15;14;3;2;4;15;14;4;15;14;3
2;4;15;15;3;2;4;15;15;4;15;15;3
2;4;15;16;3;2;4;15;16;4;15;16;3
2;4;15;17;3;2;4;15;17;4;15;17;3
2;4;15;18;3;2;4;15;18;4;15;18;3
2;4;15;19;3;2;4;15;19;4;15;19;3
2;4;15;20;3;2;4;15;20;4;15;20;3
2;4;15;21;3;2;4;15;21;4;15;21;3
2;4;15;22;3;2;4;15;22;4;15;22;3
2;4;15;23;3;2;4;15;23;4;15;23;3
2;4;15;24;3;2;4;15;24;4;15;24;3
2;4;15;25;3;2;4;15;25;4;15;25;3
2;4;15;26;3;2;4;15;26;4;15;26;3
2;4;15;27;3;2;4;15;27;4;15;27;3
2;4;15;28;3;2;4;15;28;4;15;28;3
2;4;15;29;3;2;4;15;29;4;15;29;3
2;4;16;4;3;2;4;16;4;4;16;4;3
2;4;16;5;3;2;4;16;5;4;16;5;3
2;4;16;6;3;2;4;16;6;4;16;6;3
2;4;16;7;3;2;4;16;7;4;16;7;3
2;4;16;8;3;2;4;16;8;4;16;8;3
2;4;16;9;3;2;4;16;9;4;16;9;3
2;4;16;10;3;2;4;16;10;4;16;10;3
2;4;16;11;3;2;4;16;11;4;16;11;3
2;4;16;12;3;2;4;16;12;4;16;12;3
2;4;16;13;3;2;4;16;13;4;16;13;3
2;4;16;14;3;2;4;16;14;4;16;14;3
2;4;16;15;3;2;4;16;15;4;16;15;3
2;4;16;16;3;2;4;16;16;4;16;16;3
2;4;16;17;3;2;4;16;17;4;16;17;3
2;4;16;18;3;2;4;16;18;4;16;18;3
2;4;16;19;3;2;4;16;19;4;16;19;3
2;4;16;20;3;2;4;16;20;4;16;20;3
2;4;16;21;3;2;4;16;21;4;16;21;3
2;4;16;22;3;2;4;16;22;4;16;22;3
2;4;16;23;3;2;4;16;23;4;16;23;3
2;4;16;24;3;2;4;16;24;4;16;24;3
2;4;16;25;3;2;4;16;25;4;16;25;3
2;4;16;26;3;2;4;16;26;4;16;26;3
2;4;16;27;3;2;4;16;27;4;16;27;3
2;4;16;28;3;2;4;16;28;4;16;28;3
2;4;16;29;3;2;4;16;29;4;16;29;3
2;4;17;4;3;2;4;17;4;4;17;4;3
2;4;17;5;3;2;4;17;5;4;17;5;3
2;4;17;6;3;2;4;17;6;4;17;6;3
2;4;17;7;3;2;4;17;7;4;17;7;3
2;4;17;8;3;2;4;17;8;4;17;8;3
2;4;17;9;3;2;4;17;9;4;17;9;3
2;4;17;10;3;2;4;17;10;4;17;10;3
2;4;17;11;3;2;4;17;11;4;17;11;3
2;4;17;12;3;2;4;17;12;4;17;12;3
2;4;17;13;3;2;4;17;13;4;17;13;3
2;4;17;14;3;2;4;17;14;4;17;14;3
2;4;17;15;3;2;4;17;15;4;17;15;3
2;4;17;16;3;2;4;17;16;4;17;16;3
2;4;17;17;3;2;4;17;17;4;17;17;3
2;4;17;18;3;2;4;17;18;4;17;18;3
2;4;17;19;3;2;4;17;19;4;17;19;3
2;4;17;20;3;2;4;17;20;4;17;20;3
2;4;17;21;3;2;4;17;21;4;17;21;3
2;4;17;22;3;2;4;17;22;4;17;22;3
2;4;17;23;3;2;4;17;23;4;17;23;3
2;4;17;24;3;2;4;17;24;4;17;24;3
2;4;17;25;3;2;4;17;25;4;17;25;3
2;4;17;26;3;2;4;17;26;4;17;26;3
2;4;17;27;3;2;4;17;27;4;17;27;3
2;4;17;28;3;2;4;17;28;4;17;28;3
2;4;17;29;3;2;4;17;29;4;17;29;3
2;4;18;4;3;2;4;18;4;4;18;4;3
2;4;18;5;3;2;4;18;5;4;18;5;3
2;4;18;6;3;2;4;18;6;4;18;6;3
2;4;18;7;3;2;4;18;7;4;18;7;3
2;4;18;8;3;2;4;18;8;4;18;8;3
2;4;18;9;3;2;4;18;9;4;18;9;3
2;4;18;10;3;2;4;18;10;4;18;10;3
2;4;18;11;3;2;4;18;11;4;18;11;3
2;4;18;12;3;2;4;18;12;4;18;12;3
2;4;18;13;3;2;4;18;13;4;18;13;3
2;4;18;14;3;2;4;18;14;4;18;14;3
2;4;18;15;3;2;4;18;15;4;18;15;3
2;4;18;16;3;2;4;18;16;4;18;16;3
2;4;18;17;3;2;4;18;17;4;18;17;3
2;4;18;18;3;2;4;18;18;4;18;18;3
2;4;18;19;3;2;4;18;19;4;18;19;3
2;4;18;20;3;2;4;18;20;4;18;20;3
2;4;18;21;3;2;4;18;21;4;18;21;3
2;4;18;22;3;2;4;18;22;4;18;22;3
2;4;18;23;3;2;4;18;23;4;18;23;3
2;4;18;24;3;2;4;18;24;4;18;24;3
2;4;18;25;3;2;4;18;25;4;18;25;3
2;4;18;26;3;2;4;18;26;4;18;26;3
2;4;18;27;3;2;4;18;27;4;18;27;3
2;4;18;28;3;2;4;18;28;4;18;28;3
2;4;18;29;3;2;4;18;29;4;18;29;3
2;4;19;4;3;2;4;19;4;4;19;4;3
2;4;19;5;3;2;4;19;5;4;19;5;3
2;4;19;6;3;2;4;19;6;4;19;6;3
2;4;19;7;3;2;4;19;7;4;19;7;3
2;4;19;8;3;2;4;19;8;4;19;8;3
2;4;19;9;3;2;4;19;9;4;19;9;3
2;4;19;10;3;2;4;19;10;4;19;10;3
2;4;19;11;3;2;4;19;11;4;19;11;3
2;4;19;12;3;2;4;19;12;4;19;12;3
2;4;19;13;3;2;4;19;13;4;19;13;3
2;4;19;14;3;2;4;19;14;4;19;14;3
2;4;19;15;3;2;4;19;15;4;19;15;3
2;4;19;16;3;2;4;19;16;4;19;16;3
2;4;19;17;3;2;4;19;17;4;19;17;3
2;4;19;18;3;2;4;19;18;4;19;18;3
2;4;19;19;3;2;4;19;19;4;19;19;3
2;4;19;20;3;2;4;19;20;4;19;20;3
2;4;19;21;3;2;4;19;21;4;19;21;3
2;4;19;22;3;2;4;19;22;4;19;22;3
2;4;19;23;3;2;4;19;23;4;19;23;3
2;4;19;24;3;2;4;19;24;4;19;24;3
2;4;19;25;3;2;4;19;25;4;19;25;3
2;4;19;26;3;2;4;19;26;4;19;26;3
2;4;19;27;3;2;4;19;27;4;19;27;3
2;4;19;28;3;2;4;19;28;4;19;28;3
2;4;19;29;3;2;4;19;29;4;19;29;3
2;4;20;4;3;2;4;20;4;4;20;4;3
2;4;20;5;3;2;4;20;5;4;20;5;3
2;4;20;6;3;2;4;20;6;4;20;6;3
2;4;20;7;3;2;4;20;7;4;20;7;3
2;4;20;8;3;2;4;20;8;4;20;8;3
2;4;20;9;3;2;4;20;9;4;20;9;3
2;4;20;10;3;2;4;20;10;4;20;10;3
2;4;20;11;3;2;4;20;11;4;20;11;3
2;4;20;12;3;2;4;20;12;4;20;12;3
2;4;20;13;3;2;4;20;13;4;20;13;3
2;4;20;14;3;2;4;20;14;4;20;14;3
2;4;20;15;3;2;4;20;15;4;20;15;3
2;4;20;16;3;2;4;20;16;4;20;16;3
2;4;20;17;3;2;4;20;17;4;20;17;3
2;4;20;18;3;2;4;20;18;4;20;18;3
2;4;20;19;3;2;4;20;19;4;20;19;3
2;4;20;20;3;2;4;20;20;4;20;20;3
2;4;20;21;3;2;4;20;21;4;20;21;3
2;4;20;22;3;2;4;20;22;4;20;22;3
2;4;20;23;3;2;4;20;23;4;20;23;3
2;4;20;24;3;2;4;20;24;4;20;24;3
2;4;20;25;3;2;4;20;25;4;20;25;3
2;4;20;26;3;2;4;20;26;4;20;26;3
2;4;20;27;3;2;4;20;27;4;20;27;3
2;4;20;28;3;2;4;20;28;4;20;28;3
2;4;20;29;3;2;4;20;29;4;20;29;3
2;4;21;4;3;2;4;21;4;4;21;4;3
2;4;21;5;3;2;4;21;5;4;21;5;3
2;4;21;6;3;2;4;21;6;4;21;6;3
2;4;21;7;3;2;4;21;7;4;21;7;3
2;4;21;8;3;2;4;21;8;4;21;8;3
2;4;21;9;3;2;4;21;9;4;21;9;3
2;4;21;10;3;2;4;21;10;4;21;10;3
2;4;21;11;3;2;4;21;11;4;21;11;3
2;4;21;12;3;2;4;21;12;4;21;12;3
2;4;21;13;3;2;4;21;13;4;21;13;3
2;4;21;14;3;2;4;21;14;4;21;14;3
2;4;21;15;3;2;4;21;15;4;21;15;3
2;4;21;16;3;2;4;21;16;4;21;16;3
2;4;21;17;3;2;4;21;17;4;21;17;3
2;4;21;18;3;2;4;21;18;4;21;18;3
2;4;21;19;3;2;4;21;19;4;21;19;3
2;4;21;20;3;2;4;21;20;4;21;20;3
2;4;21;21;3;2;4;21;21;4;21;21;3
2;4;21;22;3;2;4;21;22;4;21;22;3
2;4;21;23;3;2;4;21;23;4;21;23;3
2;4;21;24;3;2;4;21;24;4;21;24;3
2;4;21;25;3;2;4;21;25;4;21;25;3
2;4;21;26;3;2;4;21;26;4;21;26;3
2;4;21;27;3;2;4;21;27;4;21;27;3
2;4;21;28;3;2;4;21;28;4;21;28;3
2;4;21;29;3;2;4;21;29;4;21;29;3
2;4;22;4;3;2;4;22;4;4;22;4;3
2;4;22;5;3;2;4;22;5;4;22;5;3
2;4;22;6;3;2;4;22;6;4;22;6;3
2;4;22;7;3;2;4;22;7;4;22;7;3
2;4;22;8;3;2;4;22;8;4;22;8;3
2;4;22;9;3;2;4;22;9;4;22;9;3
2;4;22;10;3;2;4;22;10;4;22;10;3
2;4;22;11;3;2;4;22;11;4;22;11;3
2;4;22;12;3;2;4;22;12;4;22;12;3
2;4;22;13;3;2;4;22;13;4;22;13;3
2;4;22;14;3;2;4;22;14;4;22;14;3
2;4;22;15;3;2;4;22;15;4;22;15;3
2;4;22;16;3;2;4;22;16;4;22;16;3
2;4;22;17;3;2;4;22;17;4;22;17;3
2;4;22;18;3;2;4;22;18;4;22;18;3
2;4;22;19;3;2;4;22;19;4;22;19;3
2;4;22;20;3;2;4;22;20;4;22;20;3
2;4;22;21;3;2;4;22;21;4;22;21;3
2;4;22;22;3;2;4;22;22;4;22;22;3
2;4;22;23;3;2;4;22;23;4;22;23;3
2;4;22;24;3;2;4;22;24;4;22;24;3
2;4;22;25;3;2;4;22;25;4;22;25;3
2;4;22;26;3;2;4;22;26;4;22;26;3
2;4;22;27;3;2;4;22;27;4;22;27;3
2;4;22;28;3;2;4;22;28;4;22;28;3
2;4;22;29;3;2;4;22;29;4;22;29;3
2;4;23;4;3;2;4;23;4;4;23;4;3
2;4;23;5;3;2;4;23;5;4;23;5;3
2;4;23;6;3;2;4;23;6;4;23;6;3
2;4;23;7;3;2;4;23;7;4;23;7;3
2;4;23;8;3;2;4;23;8;4;23;8;3
2;4;23;9;3;2;4;23;9;4;23;9;3
2;4;23;10;3;2;4;23;10;4;23;10;3
2;4;23;11;3;2;4;23;11;4;23;11;3
2;4;23;12;3;2;4;23;12;4;23;12;3
2;4;23;13;3;2;4;23;13;4;23;13;3
2;4;23;14;3;2;4;23;14;4;23;14;3
2;4;23;15;3;2;4;23;15;4;23;15;3
2;4;23;16;3;2;4;23;16;4;23;16;3
2;4;23;17;3;2;4;23;17;4;23;17;3
2;4;23;18;3;2;4;23;18;4;23;18;3
2;4;23;19;3;2;4;23;19;4;23;19;3
2;4;23;20;3;2;4;23;20;4;23;20;3
2;4;23;21;3;2;4;23;21;4;23;21;3
2;4;23;22;3;2;4;23;22;4;23;22;3
2;4;23;23;3;2;4;23;23;4;23;23;3
2;4;23;24;3;2;4;23;24;4;23;24;3
2;4;23;25;3;2;4;23;25;4;23;25;3
2;4;23;26;3;2;4;23;26;4;23;26;3
2;4;23;27;3;2;4;23;27;4;23;27;3
2;4;23;28;3;2;4;23;28;4;23;28;3
2;4;23;29;3;2;4;23;29;4;23;29;3
2;4;24;4;3;2;4;24;4;4;24;4;3
2;4;24;5;3;2;4;24;5;4;24;5;3
2;4;24;6;3;2;4;24;6;4;24;6;3
2;4;24;7;3;2;4;24;7;4;24;7;3
2;4;24;8;3;2;4;24;8;4;24;8;3
2;4;24;9;3;2;4;24;9;4;24;9;3
2;4;24;10;3;2;4;24;10;4;24;10;3
2;4;24;11;3;2;4;24;11;4;24;11;3
2;4;24;12;3;2;4;24;12;4;24;12;3
2;4;24;13;3;2;4;24;13;4;24;13;3
