id;gender;age;previously_insured;vehicle_age;vehicle_damage;annual_premium;vintage;response
291;female;25;yes;1;no;2630;299;not-interested
292;female;22;yes;1;no;37093;66;not-interested
293;female;43;no;2;yes;31020;59;interested
294;female;28;yes;1;no;18683;215;not-interested
295;male;22;yes;1;no;33413;104;not-interested
296;female;26;no;1;yes;32232;238;not-interested
297;female;22;no;1;yes;31180;120;not-interested
298;male;60;no;2;yes;2630;21;not-interested
299;female;49;no;2;yes;2630;32;interested
300;male;22;yes;1;no;30893;29;not-interested
301;male;21;yes;1;no;43798;258;not-interested
302;male;67;no;2;yes;32653;171;not-interested
303;female;35;no;2;yes;41662;223;not-interested
304;female;24;yes;1;no;20513;270;not-interested
305;male;24;yes;1;no;27771;233;not-interested
306;male;24;yes;1;no;23267;143;not-interested
307;female;28;yes;1;no;37948;211;not-interested
308;female;24;yes;1;no;24414;149;not-interested
309;male;71;no;2;yes;42881;105;not-interested
310;male;26;yes;1;no;51047;165;not-interested
311;female;45;no;3;yes;73929;86;not-interested
312;female;59;no;2;yes;44630;200;not-interested
313;female;26;yes;1;no;44082;197;not-interested
314;female;24;yes;1;no;21006;11;not-interested
315;male;42;no;2;yes;35600;213;not-interested
316;male;20;no;1;yes;82705;49;not-interested
317;male;54;yes;2;no;24515;93;not-interested
318;male;48;yes;2;no;41483;113;not-interested
319;male;59;no;2;yes;2630;88;not-interested
320;male;43;yes;2;yes;2630;178;not-interested
321;female;40;no;2;yes;2630;77;not-interested
322;male;77;yes;2;no;42327;10;not-interested
323;female;22;no;1;yes;48276;290;not-interested
324;female;35;no;2;yes;41029;94;not-interested
325;male;24;yes;1;no;35981;231;not-interested
326;female;24;yes;1;no;32219;45;not-interested
327;female;26;yes;1;no;2630;296;not-interested
328;male;26;yes;1;no;2630;270;not-interested
329;male;39;no;2;yes;38036;10;not-interested
330;female;52;no;2;yes;23918;265;not-interested
331;male;20;yes;1;no;31367;255;not-interested
332;male;69;no;2;yes;30727;47;not-interested
333;female;28;yes;1;no;41526;122;not-interested
334;male;44;no;2;yes;30427;237;interested
335;female;22;yes;1;no;48773;217;not-interested
336;male;20;yes;2;no;2630;271;not-interested
337;male;21;yes;1;no;27076;278;not-interested
338;male;23;yes;1;no;35970;16;not-interested
339;male;36;no;2;yes;30941;249;not-interested
340;female;69;no;2;yes;32400;189;interested
341;male;27;no;1;yes;33845;260;not-interested
342;male;47;yes;2;no;36809;226;not-interested
343;female;49;no;2;yes;48505;271;not-interested
344;male;25;yes;1;no;32856;275;not-interested
345;female;21;yes;1;no;29166;278;not-interested
346;male;42;no;2;yes;34193;116;interested
347;male;22;no;1;yes;38240;221;interested
348;female;42;no;2;yes;39977;276;not-interested
349;female;31;no;2;yes;39423;190;not-interested
350;female;60;yes;2;yes;36638;33;not-interested
351;male;46;no;2;yes;28946;64;not-interested
352;female;23;yes;1;no;2630;88;not-interested
353;female;22;yes;1;no;18202;107;not-interested
354;male;20;yes;1;no;38076;79;not-interested
355;male;57;no;2;yes;19618;96;interested
356;female;29;yes;1;no;27715;93;not-interested
357;male;22;yes;1;yes;28311;240;not-interested
358;female;22;no;1;yes;2630;211;not-interested
359;male;43;no;2;yes;39495;172;interested
360;male;54;no;2;yes;35116;171;interested
361;male;44;no;2;yes;39450;214;not-interested
362;female;23;yes;1;no;42644;257;not-interested
363;female;50;no;2;yes;68147;218;not-interested
364;male;50;yes;2;no;42024;224;not-interested
365;female;44;no;2;yes;30875;173;not-interested
366;male;22;yes;1;no;25037;220;not-interested
367;male;31;no;2;yes;2630;257;not-interested
368;female;20;no;1;yes;2630;203;not-interested
369;male;52;yes;1;no;2630;152;not-interested
370;male;58;yes;2;no;44522;94;not-interested
371;male;59;no;2;yes;39971;143;not-interested
372;female;25;yes;1;no;42307;213;not-interested
373;male;45;no;3;yes;49145;222;interested
374;male;44;yes;2;no;50696;193;not-interested
375;female;38;no;2;yes;47639;169;not-interested
376;male;38;no;2;yes;65212;32;not-interested
377;male;23;yes;1;no;26287;199;not-interested
378;female;78;yes;2;no;31616;185;not-interested
379;male;20;yes;1;no;2630;81;not-interested
380;male;25;no;1;no;38081;132;not-interested
381;male;47;yes;2;no;31269;213;not-interested
382;male;66;no;3;yes;2630;90;not-interested
383;female;55;no;3;yes;49146;190;interested
384;female;24;no;1;yes;54408;86;not-interested
385;male;26;yes;1;no;54203;81;not-interested
386;female;22;yes;1;no;38452;51;not-interested
387;female;34;no;2;no;46685;205;not-interested
388;male;66;no;2;no;42644;80;not-interested
389;female;44;no;2;yes;45485;245;not-interested
390;male;21;no;1;yes;28733;70;not-interested
391;male;20;no;1;yes;49211;284;not-interested
392;male;22;yes;1;no;36287;70;not-interested
393;female;25;no;1;yes;2630;249;not-interested
394;female;49;no;2;no;2630;265;not-interested
395;male;50;no;2;yes;2630;237;not-interested
396;male;75;yes;2;no;2630;11;not-interested
397;male;31;no;1;yes;32883;132;not-interested
398;male;21;no;1;no;2630;186;not-interested
399;female;47;no;2;yes;2630;166;not-interested
400;male;59;no;2;yes;44233;160;interested
401;male;23;no;1;yes;25080;277;interested
402;male;65;no;2;yes;90789;186;interested
403;female;27;no;1;yes;2630;125;not-interested
404;male;49;no;2;yes;37214;158;interested
405;male;51;no;2;yes;37690;34;not-interested
406;female;66;no;2;yes;34757;92;not-interested
407;male;45;no;2;no;42620;245;not-interested
408;female;45;yes;2;no;2630;200;not-interested
409;female;68;yes;2;no;2630;218;not-interested
410;male;47;no;3;yes;33145;237;not-interested
411;male;28;no;2;yes;31181;282;not-interested
412;female;25;no;1;yes;39361;104;not-interested
413;female;51;no;3;yes;33632;137;not-interested
414;female;24;yes;1;no;29371;168;not-interested
415;female;25;yes;1;no;27080;177;not-interested
416;female;24;no;1;yes;29981;185;not-interested
417;male;41;no;2;yes;29440;87;interested
418;male;29;no;1;yes;2630;118;not-interested
419;female;22;yes;1;no;31506;113;not-interested
420;female;38;yes;2;no;37379;158;not-interested
421;female;26;yes;1;no;22650;181;not-interested
422;male;23;yes;1;no;24308;256;not-interested
423;female;36;no;1;yes;2630;94;not-interested
424;female;37;no;2;yes;20267;88;not-interested
425;female;21;yes;1;yes;46704;99;not-interested
426;female;24;no;1;yes;2630;19;not-interested
427;male;22;yes;1;no;23810;220;not-interested
428;male;54;yes;2;no;34431;288;not-interested
429;female;21;no;2;yes;36314;86;interested
430;female;44;no;2;yes;119735;295;not-interested
431;male;48;no;2;yes;42100;247;interested
432;male;42;no;2;yes;40473;46;not-interested
433;female;45;no;2;yes;27616;134;not-interested
434;male;25;yes;1;no;2630;178;not-interested
435;male;76;yes;2;no;39952;126;not-interested
436;male;64;no;2;yes;42417;116;not-interested
437;male;29;no;1;yes;42992;241;not-interested
438;female;28;yes;1;no;27555;258;not-interested
439;female;24;yes;1;no;25784;128;not-interested
440;female;49;no;2;yes;38022;197;not-interested
441;male;53;no;2;yes;2630;83;not-interested
442;female;67;no;2;yes;43753;30;interested
443;male;54;no;2;yes;39396;295;not-interested
444;female;25;yes;1;no;2630;228;not-interested
445;female;21;yes;1;no;24030;82;not-interested
446;female;39;no;2;yes;33016;74;not-interested
447;male;54;no;2;yes;26629;113;interested
448;female;24;no;1;yes;2630;107;not-interested
449;female;23;yes;1;no;24881;247;not-interested
450;male;33;yes;1;no;2630;190;not-interested
451;female;23;no;1;yes;21214;126;interested
452;female;23;no;1;yes;24388;270;not-interested
453;male;47;yes;2;no;2630;270;not-interested
454;male;63;no;2;yes;44879;85;not-interested
455;female;27;no;1;yes;24453;152;not-interested
456;male;49;no;2;yes;41648;98;not-interested
457;male;29;no;1;yes;40186;227;not-interested
458;male;46;no;2;yes;30866;77;not-interested
459;male;33;yes;1;no;35263;271;not-interested
460;male;40;yes;2;no;31839;165;not-interested
461;female;30;no;1;yes;27967;270;not-interested
462;male;52;no;2;yes;46090;217;interested
463;male;23;yes;1;no;27968;128;not-interested
464;male;70;no;3;yes;51565;115;not-interested
465;male;24;no;1;yes;26707;224;not-interested
466;male;42;no;3;yes;35187;107;not-interested
467;male;70;no;2;yes;46177;249;not-interested
468;female;22;no;1;yes;26118;46;not-interested
469;male;70;yes;2;no;65479;213;not-interested
470;female;23;yes;1;no;38010;177;not-interested
471;female;74;no;3;yes;30128;164;interested
472;female;22;no;2;yes;42589;236;not-interested
473;female;66;no;2;yes;30967;64;not-interested
474;female;24;no;1;yes;42636;155;not-interested
475;male;40;no;2;yes;37142;286;not-interested
476;male;59;yes;2;no;34424;134;not-interested
477;female;23;no;1;yes;27827;19;not-interested
478;male;45;no;2;yes;37726;186;not-interested
479;female;22;yes;1;no;37232;177;not-interested
480;male;30;no;1;yes;51429;119;interested
481;male;73;no;3;yes;104002;132;not-interested
482;female;33;no;2;no;2630;103;not-interested
483;female;25;yes;1;no;28342;113;not-interested
484;female;44;no;2;yes;52593;30;interested
485;female;36;no;2;yes;63198;244;interested
486;male;69;yes;2;no;44679;293;not-interested
487;male;79;no;2;yes;21882;78;not-interested
488;female;24;yes;1;no;28036;108;not-interested
489;male;72;yes;2;no;36462;61;not-interested
490;female;39;no;2;yes;45387;59;interested
491;female;62;no;2;yes;31026;105;not-interested
492;male;43;no;2;yes;39225;268;not-interested
493;male;29;no;2;yes;2630;66;not-interested
494;female;20;yes;1;yes;2630;120;not-interested
495;female;27;yes;1;no;28640;93;not-interested
496;male;20;no;1;yes;40115;292;not-interested
497;male;22;no;1;yes;30083;84;not-interested
498;male;56;no;2;yes;32018;183;not-interested
499;female;28;yes;1;no;26788;221;not-interested
500;male;20;yes;1;no;27397;13;not-interested
501;male;23;no;1;yes;33870;258;not-interested
502;female;31;yes;1;no;33444;233;not-interested
503;female;31;yes;1;no;40315;103;not-interested
504;female;51;no;2;yes;39214;15;not-interested
505;female;23;yes;1;no;41919;288;not-interested
506;male;37;no;2;yes;42207;135;interested
507;female;25;no;1;yes;92716;247;not-interested
508;female;25;yes;1;no;74371;295;not-interested
509;female;22;yes;1;no;58936;274;not-interested
510;female;31;yes;1;no;44945;201;not-interested
511;female;22;yes;1;no;36430;241;not-interested
512;male;29;yes;1;no;2630;59;not-interested
513;female;38;no;2;yes;2630;253;not-interested
514;female;26;yes;1;no;32553;97;not-interested
515;female;22;no;1;yes;32093;113;interested
516;female;70;no;2;yes;37783;102;not-interested
517;male;58;no;2;yes;41394;22;not-interested
518;male;52;no;2;yes;29442;264;not-interested
519;male;49;no;2;yes;31733;265;not-interested
520;female;24;no;1;no;39055;127;not-interested
521;female;24;yes;1;no;28829;173;not-interested
522;female;76;no;2;yes;38546;92;not-interested
523;female;22;no;1;yes;23309;202;not-interested
524;female;23;yes;1;no;25272;25;not-interested
525;male;24;yes;1;no;60219;233;not-interested
526;female;25;no;1;yes;40374;246;not-interested
527;male;33;yes;2;no;27599;10;not-interested
528;male;51;yes;2;no;2630;88;not-interested
529;female;48;no;2;yes;34900;153;not-interested
530;male;38;no;2;yes;2630;67;not-interested
531;female;21;yes;1;no;2630;74;not-interested
532;male;36;yes;2;no;41410;174;not-interested
533;female;22;yes;1;no;24980;181;not-interested
534;male;53;yes;2;yes;36544;182;not-interested
535;male;45;yes;2;no;2630;271;not-interested
536;male;24;yes;1;no;23479;259;not-interested
537;male;46;yes;2;no;36581;115;not-interested
538;female;57;yes;2;no;24564;220;not-interested
539;male;41;no;2;yes;44898;154;not-interested
540;male;45;no;2;yes;2630;204;interested
541;male;47;no;2;yes;2630;80;not-interested
542;male;51;no;3;yes;31443;82;not-interested
543;female;24;no;1;yes;2630;48;not-interested
544;male;57;no;2;yes;24552;122;interested
545;female;25;yes;1;no;61805;58;not-interested
546;male;46;yes;2;no;34727;229;not-interested
547;male;38;no;2;yes;46272;203;interested
548;female;48;no;2;yes;47104;166;not-interested
549;male;22;yes;1;no;26647;95;not-interested
550;male;27;yes;1;no;26312;244;not-interested
551;male;33;yes;2;no;2630;149;not-interested
552;male;23;yes;1;no;35982;277;not-interested
553;female;44;yes;2;no;34612;62;not-interested
554;female;24;yes;1;no;29857;201;not-interested
555;male;39;no;2;yes;33149;20;not-interested
556;female;21;yes;1;no;24731;283;not-interested
557;male;25;yes;1;no;34661;207;not-interested
558;female;51;no;2;yes;31243;39;interested
559;female;27;yes;1;no;52455;21;not-interested
560;female;42;no;3;yes;34393;209;not-interested
561;female;23;yes;1;no;28978;242;not-interested
562;male;36;yes;2;no;44579;104;not-interested
563;male;50;no;3;yes;38269;244;not-interested
564;male;69;no;2;yes;39730;53;not-interested
565;male;24;yes;1;no;36316;64;not-interested
566;male;57;no;2;yes;2630;52;not-interested
567;female;32;no;1;no;2630;167;not-interested
568;male;68;no;2;yes;112974;206;not-interested
569;male;40;no;2;yes;33466;120;interested
570;male;37;no;2;yes;29934;141;not-interested
571;female;27;yes;1;no;2630;24;not-interested
572;female;21;no;1;yes;57982;89;not-interested
573;female;46;no;2;yes;51568;216;not-interested
574;male;55;no;2;yes;54115;114;not-interested
575;male;79;no;2;yes;28777;220;not-interested
576;female;22;no;1;yes;35461;90;not-interested
577;female;52;no;2;yes;2630;19;interested
578;male;22;yes;1;no;28001;226;not-interested
579;female;24;no;1;yes;31901;17;not-interested
580;male;32;yes;1;no;25562;261;not-interested
581;male;40;no;2;yes;34364;41;not-interested
582;female;23;yes;1;no;48251;202;not-interested
583;male;56;yes;2;yes;20472;288;not-interested
584;male;57;no;2;yes;31179;160;interested
585;male;24;yes;1;no;33613;205;not-interested
586;female;27;yes;1;no;2630;266;not-interested
587;male;21;no;1;yes;25205;256;not-interested
588;female;72;no;2;yes;61819;35;not-interested
589;female;25;no;1;yes;2630;288;not-interested
590;female;21;yes;1;no;48103;135;not-interested
591;male;24;no;1;yes;19848;115;not-interested
592;female;25;yes;1;no;2630;36;not-interested
593;male;26;yes;1;no;22102;97;not-interested
594;female;75;yes;2;no;30356;288;not-interested
595;female;24;yes;1;yes;21093;53;not-interested
596;male;66;no;2;yes;40223;200;not-interested
597;female;23;yes;1;no;32465;47;not-interested
598;female;49;no;2;yes;25996;184;interested
599;male;42;no;2;yes;35129;80;interested
600;female;25;yes;1;no;19298;140;not-interested
601;male;21;yes;1;no;28450;17;not-interested
602;female;23;yes;1;no;28155;83;not-interested
603;female;38;no;2;yes;26103;121;not-interested
604;male;44;no;2;yes;2630;245;not-interested
605;male;25;no;1;yes;60550;269;not-interested
606;male;38;no;2;yes;52970;106;not-interested
607;female;24;yes;1;no;22649;243;not-interested
608;female;23;no;1;no;2630;103;not-interested
609;female;43;yes;2;no;2630;248;not-interested
610;female;30;no;1;yes;2630;74;not-interested
611;female;49;yes;2;no;2630;100;not-interested
612;female;22;yes;1;no;30724;271;not-interested
