x-box;y-box;width;high;onpix;x-bar;y-bar;x2bar;y2bar;xybar;x2ybr;xy2br;x-ege;xegvy;y-ege;yegvx;lettr
4.0;8.0;5.0;6.0;4.0;7.0;7.0;9.0;4.0;6.0;4.0;6.0;3.0;7.0;3.0;8.0;N
4.0;9.0;5.0;6.0;2.0;7.0;6.0;15.0;1.0;7.0;7.0;8.0;3.0;8.0;0.0;8.0;H
7.0;11.0;8.0;9.0;4.0;3.0;9.0;6.0;7.0;11.0;11.0;10.0;3.0;9.0;2.0;6.0;U
2.0;7.0;3.0;5.0;1.0;6.0;10.0;0.0;3.0;7.0;11.0;8.0;1.0;11.0;0.0;8.0;Y
6.0;8.0;7.0;6.0;4.0;6.0;9.0;4.0;8.0;11.0;7.0;6.0;2.0;8.0;5.0;5.0;S
5.0;9.0;6.0;7.0;5.0;7.0;7.0;7.0;5.0;7.0;6.0;7.0;2.0;8.0;9.0;8.0;S
2.0;3.0;2.0;2.0;1.0;7.0;11.0;2.0;6.0;7.0;10.0;8.0;1.0;11.0;1.0;7.0;T
2.0;3.0;3.0;2.0;1.0;4.0;7.0;4.0;6.0;10.0;9.0;13.0;1.0;9.0;2.0;7.0;C
4.0;10.0;7.0;7.0;2.0;9.0;8.0;5.0;3.0;5.0;14.0;8.0;3.0;9.0;0.0;8.0;V
5.0;8.0;5.0;6.0;3.0;6.0;12.0;4.0;7.0;12.0;9.0;4.0;2.0;12.0;2.0;4.0;T
7.0;12.0;6.0;6.0;3.0;7.0;8.0;2.0;7.0;9.0;7.0;8.0;5.0;8.0;3.0;7.0;K
3.0;8.0;4.0;6.0;4.0;7.0;8.0;7.0;6.0;7.0;7.0;5.0;3.0;8.0;3.0;7.0;D
2.0;1.0;3.0;1.0;1.0;7.0;8.0;4.0;0.0;7.0;8.0;8.0;6.0;10.0;0.0;8.0;W
2.0;9.0;3.0;7.0;2.0;8.0;7.0;0.0;7.0;13.0;6.0;9.0;0.0;8.0;1.0;8.0;I
3.0;8.0;3.0;6.0;2.0;3.0;7.0;6.0;10.0;7.0;6.0;14.0;0.0;8.0;7.0;8.0;E
6.0;9.0;8.0;7.0;4.0;6.0;12.0;6.0;6.0;13.0;7.0;3.0;2.0;9.0;2.0;5.0;F
3.0;9.0;4.0;7.0;3.0;7.0;7.0;0.0;7.0;13.0;6.0;8.0;0.0;8.0;1.0;8.0;I
5.0;10.0;7.0;8.0;8.0;7.0;7.0;6.0;6.0;7.0;6.0;9.0;3.0;8.0;4.0;8.0;H
4.0;7.0;4.0;5.0;2.0;7.0;5.0;13.0;5.0;7.0;14.0;7.0;3.0;9.0;0.0;8.0;U
2.0;3.0;3.0;2.0;1.0;6.0;8.0;7.0;7.0;9.0;7.0;12.0;1.0;10.0;3.0;9.0;C
5.0;9.0;6.0;7.0;7.0;7.0;6.0;6.0;4.0;7.0;7.0;8.0;5.0;10.0;9.0;12.0;F
3.0;8.0;5.0;6.0;3.0;9.0;2.0;2.0;3.0;8.0;2.0;8.0;2.0;6.0;3.0;7.0;A
3.0;7.0;5.0;5.0;3.0;7.0;8.0;2.0;9.0;11.0;7.0;7.0;1.0;8.0;6.0;7.0;Z
3.0;7.0;5.0;5.0;2.0;10.0;5.0;2.0;8.0;10.0;1.0;7.0;3.0;7.0;3.0;10.0;X
3.0;3.0;5.0;2.0;2.0;5.0;10.0;3.0;4.0;10.0;8.0;7.0;5.0;8.0;1.0;8.0;N
6.0;9.0;5.0;4.0;3.0;10.0;6.0;5.0;5.0;10.0;2.0;8.0;6.0;6.0;4.0;9.0;R
3.0;3.0;3.0;4.0;3.0;7.0;7.0;5.0;5.0;7.0;6.0;6.0;5.0;8.0;5.0;10.0;B
5.0;9.0;7.0;7.0;7.0;8.0;8.0;3.0;6.0;10.0;5.0;6.0;3.0;7.0;6.0;8.0;B
5.0;6.0;5.0;4.0;2.0;5.0;8.0;6.0;8.0;9.0;8.0;8.0;3.0;9.0;2.0;5.0;U
4.0;4.0;6.0;5.0;4.0;8.0;9.0;4.0;5.0;7.0;6.0;9.0;3.0;7.0;8.0;8.0;J
3.0;7.0;4.0;5.0;2.0;1.0;11.0;4.0;4.0;11.0;11.0;8.0;0.0;8.0;2.0;7.0;F
6.0;8.0;9.0;6.0;6.0;11.0;6.0;2.0;5.0;9.0;3.0;6.0;9.0;7.0;2.0;9.0;M
1.0;1.0;2.0;1.0;1.0;7.0;7.0;12.0;1.0;7.0;6.0;8.0;3.0;8.0;0.0;8.0;H
2.0;1.0;4.0;2.0;1.0;8.0;1.0;2.0;2.0;7.0;2.0;8.0;2.0;5.0;2.0;7.0;A
5.0;10.0;4.0;5.0;3.0;6.0;6.0;6.0;2.0;9.0;6.0;9.0;5.0;9.0;4.0;8.0;O
1.0;0.0;1.0;1.0;1.0;4.0;7.0;5.0;8.0;7.0;6.0;13.0;0.0;8.0;6.0;10.0;E
3.0;3.0;3.0;1.0;1.0;5.0;8.0;5.0;7.0;10.0;9.0;8.0;3.0;10.0;2.0;6.0;U
3.0;7.0;5.0;5.0;3.0;10.0;4.0;1.0;2.0;8.0;3.0;9.0;2.0;4.0;2.0;7.0;A
4.0;8.0;5.0;6.0;3.0;5.0;8.0;1.0;8.0;10.0;9.0;9.0;2.0;9.0;3.0;6.0;X
5.0;8.0;7.0;6.0;4.0;8.0;8.0;4.0;9.0;11.0;3.0;8.0;2.0;6.0;4.0;9.0;S
1.0;3.0;2.0;2.0;1.0;10.0;7.0;1.0;5.0;11.0;4.0;8.0;0.0;7.0;0.0;7.0;J
5.0;11.0;8.0;8.0;5.0;6.0;7.0;2.0;7.0;10.0;7.0;10.0;4.0;8.0;4.0;8.0;K
2.0;6.0;2.0;4.0;1.0;9.0;5.0;0.0;6.0;13.0;5.0;9.0;0.0;8.0;1.0;8.0;I
7.0;11.0;10.0;8.0;6.0;6.0;11.0;3.0;6.0;13.0;6.0;3.0;0.0;10.0;3.0;8.0;P
2.0;1.0;2.0;1.0;0.0;8.0;15.0;1.0;4.0;6.0;10.0;8.0;0.0;8.0;0.0;8.0;T
1.0;1.0;2.0;2.0;1.0;6.0;8.0;6.0;6.0;9.0;7.0;12.0;1.0;9.0;3.0;10.0;C
4.0;9.0;4.0;7.0;4.0;7.0;8.0;13.0;1.0;7.0;5.0;8.0;3.0;8.0;0.0;8.0;H
2.0;4.0;4.0;3.0;2.0;10.0;2.0;2.0;2.0;9.0;2.0;9.0;2.0;7.0;3.0;9.0;A
6.0;11.0;9.0;8.0;11.0;7.0;7.0;3.0;6.0;6.0;7.0;11.0;6.0;11.0;9.0;7.0;L
3.0;6.0;4.0;4.0;3.0;7.0;12.0;4.0;6.0;7.0;11.0;8.0;2.0;12.0;1.0;7.0;T
2.0;8.0;4.0;6.0;2.0;12.0;2.0;4.0;3.0;11.0;2.0;10.0;3.0;6.0;3.0;9.0;A
3.0;9.0;5.0;7.0;3.0;8.0;9.0;4.0;1.0;6.0;12.0;8.0;2.0;10.0;0.0;8.0;V
5.0;7.0;6.0;5.0;5.0;8.0;8.0;8.0;5.0;6.0;7.0;9.0;4.0;8.0;4.0;5.0;U
2.0;9.0;2.0;6.0;3.0;7.0;7.0;0.0;7.0;7.0;6.0;8.0;0.0;8.0;2.0;8.0;I
8.0;14.0;8.0;8.0;5.0;8.0;5.0;2.0;9.0;12.0;6.0;9.0;3.0;7.0;6.0;7.0;Z
4.0;7.0;6.0;5.0;6.0;8.0;8.0;4.0;2.0;8.0;7.0;8.0;7.0;11.0;5.0;8.0;V
5.0;9.0;7.0;6.0;7.0;9.0;7.0;5.0;5.0;6.0;7.0;6.0;10.0;7.0;4.0;6.0;M
4.0;8.0;6.0;6.0;4.0;6.0;5.0;2.0;8.0;7.0;2.0;8.0;1.0;6.0;3.0;7.0;L
3.0;3.0;5.0;5.0;2.0;9.0;6.0;9.0;7.0;7.0;5.0;10.0;3.0;8.0;4.0;8.0;O
4.0;2.0;5.0;4.0;4.0;7.0;7.0;5.0;6.0;7.0;6.0;6.0;2.0;8.0;7.0;10.0;B
8.0;15.0;7.0;8.0;4.0;8.0;2.0;3.0;2.0;8.0;5.0;12.0;5.0;4.0;5.0;5.0;A
6.0;9.0;9.0;6.0;7.0;9.0;6.0;1.0;7.0;10.0;3.0;8.0;3.0;7.0;3.0;9.0;K
3.0;7.0;4.0;5.0;4.0;7.0;7.0;5.0;6.0;7.0;6.0;8.0;3.0;8.0;3.0;8.0;H
7.0;9.0;7.0;7.0;5.0;6.0;10.0;1.0;8.0;11.0;9.0;5.0;2.0;9.0;3.0;4.0;T
6.0;5.0;7.0;4.0;4.0;4.0;11.0;2.0;2.0;9.0;9.0;8.0;7.0;11.0;1.0;7.0;W
3.0;8.0;3.0;5.0;1.0;1.0;12.0;4.0;5.0;12.0;11.0;8.0;0.0;8.0;2.0;6.0;F
3.0;3.0;5.0;4.0;1.0;7.0;6.0;3.0;0.0;7.0;0.0;8.0;2.0;7.0;1.0;8.0;A
3.0;8.0;3.0;6.0;3.0;3.0;6.0;5.0;9.0;5.0;4.0;13.0;0.0;8.0;6.0;9.0;E
4.0;9.0;5.0;7.0;4.0;7.0;7.0;12.0;1.0;7.0;9.0;8.0;8.0;6.0;0.0;8.0;M
4.0;9.0;5.0;7.0;6.0;7.0;8.0;9.0;6.0;7.0;6.0;6.0;2.0;8.0;8.0;10.0;B
3.0;7.0;5.0;5.0;6.0;7.0;8.0;6.0;4.0;6.0;6.0;8.0;5.0;8.0;7.0;9.0;M
6.0;9.0;6.0;7.0;4.0;5.0;8.0;0.0;8.0;8.0;9.0;5.0;2.0;11.0;4.0;4.0;Y
4.0;9.0;6.0;7.0;3.0;6.0;12.0;3.0;4.0;7.0;12.0;9.0;3.0;10.0;1.0;8.0;V
2.0;8.0;3.0;6.0;3.0;8.0;8.0;7.0;6.0;7.0;4.0;6.0;2.0;7.0;8.0;8.0;S
2.0;1.0;2.0;2.0;1.0;6.0;8.0;7.0;7.0;8.0;7.0;12.0;1.0;9.0;4.0;10.0;C
4.0;9.0;6.0;6.0;8.0;7.0;7.0;6.0;3.0;7.0;6.0;7.0;8.0;7.0;9.0;9.0;H
5.0;8.0;5.0;6.0;4.0;8.0;6.0;11.0;4.0;8.0;13.0;7.0;3.0;9.0;0.0;8.0;U
6.0;10.0;6.0;6.0;4.0;7.0;10.0;5.0;2.0;11.0;5.0;4.0;4.0;11.0;5.0;7.0;P
3.0;8.0;4.0;6.0;2.0;7.0;7.0;4.0;13.0;10.0;6.0;8.0;0.0;8.0;8.0;8.0;Z
3.0;4.0;5.0;2.0;2.0;7.0;7.0;2.0;8.0;11.0;7.0;9.0;2.0;8.0;4.0;8.0;E
5.0;9.0;7.0;6.0;4.0;4.0;10.0;3.0;4.0;9.0;10.0;9.0;5.0;8.0;1.0;8.0;N
6.0;10.0;5.0;6.0;3.0;5.0;9.0;6.0;3.0;10.0;5.0;6.0;5.0;9.0;4.0;7.0;P
4.0;5.0;5.0;4.0;4.0;7.0;7.0;6.0;6.0;7.0;6.0;7.0;3.0;8.0;3.0;6.0;H
6.0;11.0;6.0;8.0;5.0;6.0;11.0;3.0;7.0;11.0;9.0;5.0;2.0;12.0;2.0;4.0;T
5.0;5.0;5.0;8.0;4.0;7.0;9.0;10.0;8.0;7.0;5.0;7.0;2.0;8.0;9.0;10.0;B
5.0;10.0;6.0;7.0;2.0;7.0;4.0;14.0;6.0;7.0;15.0;8.0;3.0;9.0;0.0;8.0;U
3.0;4.0;4.0;6.0;2.0;8.0;8.0;6.0;9.0;5.0;5.0;5.0;0.0;8.0;9.0;7.0;S
5.0;6.0;5.0;8.0;2.0;1.0;14.0;5.0;3.0;12.0;9.0;5.0;0.0;8.0;3.0;6.0;F
3.0;9.0;4.0;7.0;4.0;9.0;6.0;1.0;6.0;11.0;4.0;7.0;0.0;6.0;1.0;6.0;J
3.0;6.0;4.0;4.0;4.0;6.0;7.0;5.0;5.0;7.0;6.0;7.0;3.0;7.0;4.0;9.0;R
3.0;2.0;3.0;4.0;3.0;7.0;8.0;5.0;7.0;7.0;5.0;9.0;2.0;8.0;5.0;10.0;E
6.0;9.0;6.0;4.0;4.0;8.0;9.0;5.0;3.0;10.0;5.0;5.0;5.0;10.0;5.0;6.0;P
2.0;2.0;1.0;4.0;1.0;7.0;7.0;1.0;7.0;7.0;6.0;8.0;0.0;8.0;3.0;8.0;I
7.0;10.0;9.0;8.0;9.0;7.0;7.0;5.0;5.0;7.0;6.0;7.0;7.0;6.0;9.0;13.0;K
4.0;10.0;6.0;7.0;4.0;8.0;6.0;8.0;7.0;4.0;5.0;3.0;3.0;8.0;4.0;8.0;D
4.0;7.0;6.0;5.0;7.0;9.0;6.0;4.0;4.0;6.0;6.0;7.0;7.0;8.0;6.0;7.0;B
5.0;10.0;7.0;8.0;6.0;7.0;9.0;8.0;5.0;8.0;5.0;6.0;3.0;7.0;7.0;10.0;H
7.0;10.0;10.0;7.0;7.0;9.0;6.0;2.0;5.0;9.0;5.0;7.0;8.0;6.0;2.0;8.0;M
6.0;11.0;7.0;8.0;3.0;4.0;13.0;9.0;2.0;10.0;6.0;4.0;1.0;10.0;4.0;8.0;P
4.0;8.0;6.0;6.0;4.0;8.0;5.0;8.0;4.0;7.0;5.0;8.0;3.0;8.0;3.0;8.0;O
2.0;8.0;3.0;6.0;3.0;8.0;7.0;7.0;5.0;7.0;6.0;7.0;2.0;9.0;8.0;8.0;S
4.0;7.0;6.0;5.0;4.0;3.0;8.0;3.0;7.0;11.0;11.0;12.0;3.0;8.0;3.0;5.0;K
7.0;10.0;7.0;8.0;3.0;3.0;11.0;4.0;4.0;10.0;12.0;8.0;3.0;10.0;1.0;8.0;V
7.0;11.0;10.0;8.0;5.0;6.0;11.0;2.0;7.0;14.0;7.0;4.0;1.0;10.0;2.0;7.0;F
3.0;4.0;5.0;6.0;1.0;6.0;10.0;3.0;2.0;9.0;13.0;8.0;1.0;11.0;0.0;8.0;Y
4.0;6.0;6.0;4.0;3.0;11.0;6.0;3.0;8.0;11.0;3.0;6.0;3.0;8.0;3.0;9.0;D
1.0;0.0;1.0;1.0;0.0;7.0;7.0;2.0;10.0;8.0;6.0;8.0;0.0;8.0;6.0;8.0;Z
3.0;5.0;3.0;6.0;3.0;7.0;8.0;6.0;3.0;8.0;8.0;9.0;3.0;8.0;5.0;7.0;Q
8.0;14.0;8.0;8.0;4.0;9.0;4.0;4.0;4.0;13.0;5.0;8.0;3.0;10.0;3.0;8.0;S
5.0;7.0;7.0;5.0;6.0;8.0;6.0;5.0;6.0;9.0;6.0;7.0;3.0;9.0;6.0;10.0;B
8.0;13.0;9.0;7.0;5.0;6.0;7.0;3.0;6.0;10.0;8.0;10.0;6.0;10.0;4.0;7.0;K
3.0;10.0;5.0;7.0;2.0;5.0;8.0;5.0;3.0;9.0;14.0;8.0;3.0;10.0;0.0;8.0;V
