DATE,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
01/03/2013 23:00,8,14,16,58,600,39,-0.5,1032.8,-19.7,0,45,2.1
02/03/2013 00:00,4,11,11,45,500,52,-0.7,1033,-18.3,0,90,0.6
02/03/2013 01:00,3,6,11,43,500,53,-1.6,1033.2,-17.4,0,67.5,0
02/03/2013 02:00,3,6,10,36,400,61,-2.2,1032.9,-16.7,0,0,0
02/03/2013 03:00,3,6,11,41,500,46,-3.1,1032.6,-15.8,0,0,0
02/03/2013 04:00,3,6,9,31,400,60,-3.1,1032.7,-16.1,0,0,0
02/03/2013 05:00,9,9,10,32,500,62,-2.4,1032.1,-18.1,0,22.50,0.8
02/03/2013 06:00,3,6,15,59,600,30,-2.3,1031.3,-18.4,0,0,1.5
02/03/2013 07:00,13,13,14,45,600,47,-1.9,1031.9,-18.5,0,0,1.4
02/03/2013 08:00,3,6,19,48,600,43,-0.9,1031.7,-18,0,22.50,1.6
02/03/2013 09:00,3,6,24,49,500,44,0.1,1031.7,-18.1,0,45,0.5
02/03/2013 10:00,3,7,24,55,600,36,1.5,1031.2,-18,0,67.5,0.6
02/03/2013 11:00,4,14,18,54,700,34,2.6,1030.2,-18.2,0,225,3.1
02/03/2013 12:00,17,22,18,61,1100,32,3.8,1029,-17.8,0,202.5,1.1
02/03/2013 13:00,23,29,19,54,800,39,3.8,1027.6,-17.8,0,180,1
02/03/2013 14:00,32,34,18,48,700,47,3.9,1026.8,-18.3,0,202.5,0.4
02/03/2013 15:00,35,37,25,49,900,49,4.3,1026.2,-18,0,202.5,1.5
02/03/2013 16:00,42,52,43,60,1300,41,4.1,1025.4,-16.9,0,202.5,1.9
02/03/2013 17:00,54,69,41,62,1100,40,3.2,1025.3,-16,0,247.5,1.3
02/03/2013 18:00,56,82,43,63,1100,37,2.2,1025.4,-15.8,0,45,0.4
02/03/2013 19:00,63,92,45,72,1200,27,1.6,1025,-15.4,0,0,0.1
02/03/2013 20:00,71,98,46,80,1899,17,0.7,1025,-15.3,0,0,1
02/03/2013 21:00,79,111,61,95,1800,6,0.5,1024.8,-15.1,0,0,0.2
02/03/2013 22:00,98,121,71,112,2299,2,-1,1024.2,-14.6,0,67.5,0
02/03/2013 23:00,108,131,73,110,2600,2,-1.3,1023.2,-14.5,0,0,0
03/03/2013 00:00,115,141,70,111,2700,2,-2.2,1022.3,-12.8,0,0,0
03/03/2013 01:00,127,152,65,109,2600,2,-1.8,1021.4,-13.3,0,270,0.7
03/03/2013 02:00,132,151,64,107,2399,2,-2.4,1020.4,-13.3,0,90,1.3
03/03/2013 03:00,124,133,83,104,2399,2,-3.3,1019.4,-12.5,0,112.5,1.2
03/03/2013 04:00,112,118,92,105,2399,2,-4.2,1019,-12.6,0,90,0.1
03/03/2013 05:00,101,107,74,99,2299,2,-5.2,1018.5,-11.6,0,45,0.9
03/03/2013 06:00,88,105,80,94,2500,2,-5.4,1018.3,-11.3,0,67.5,0
03/03/2013 07:00,98,113,82,100,2899,2,-3.3,1018.6,-9.8,0,0,0.1
03/03/2013 08:00,97,124,79,95,2799,2,1.2,1018.1,-13.7,0,0,0.8
03/03/2013 09:00,95,115,102,95,2399,3,4,1017.6,-13.4,0,135,0.6
03/03/2013 10:00,91,112,102,98,2200,10,6.8,1016.7,-13.5,0,202.5,1.1
03/03/2013 11:00,98,123,83,104,2500,14,9.5,1015.6,-13.7,0,270,0.5
03/03/2013 12:00,107,134,70,111,2600,17,13.4,1014.4,-13.6,0,292.5,1.8
03/03/2013 13:00,114,130,43,85,1800,38,15.5,1013,-13.8,0,315,4
03/03/2013 14:00,81,104,19,46,1000,68,16.4,1012.4,-15.4,0,270,7
03/03/2013 15:00,49,80,7,17,500,94,16.6,1012,-15.2,0,292.5,4.7
03/03/2013 16:00,28,66,14,33,700,82,15.8,1012.2,-14.7,0,67.5,1.3
03/03/2013 17:00,41,106,24,60,1000,67,12.6,1013,-13.4,0,202.5,1.3
03/03/2013 18:00,58,106,26,74,1200,50,9.9,1014.1,-10.3,0,292.5,1
03/03/2013 19:00,87,212,58,127,2000,17,6.8,1014.9,-9.6,0,270,0
03/03/2013 20:00,142,274,56,136,2299,4,5.2,1015.2,-8.3,0,270,0
03/03/2013 21:00,152,202,45,122,2399,2,4,1015.4,-9.1,0,0,0.2
03/03/2013 22:00,143,149,29,107,2299,2,2.7,1015.8,-8.4,0,292.5,0.4
03/03/2013 23:00,80,101,32,104,3299,2,7.1,1016.7,-12.2,0,0,0.4
04/03/2013 00:00,68,110,46,109,4000,3,9.9,1017.5,-14.1,0,0,4.9
04/03/2013 01:00,61,89,21,58,900,22,9.3,1018.4,-13.9,0,337.5,3.6
04/03/2013 02:00,43,48,6.2832,20.1194,NA,94,8.4,1018.7,-13.9,0,0,1.5
04/03/2013 03:00,13,19,3,14,400,84,7.4,1018.6,-14.2,0,0,3.6
04/03/2013 04:00,6,13,8,28,500,65,6.2,1019.6,-15.2,0,337.5,2.7
04/03/2013 05:00,7,19,13,48,600,40,6,1020.1,-14.2,0,315,2.4
04/03/2013 06:00,9,23,18,61,800,27,4.2,1020.8,-12.7,0,315,2
04/03/2013 07:00,10,31,26,82,900,8,7.2,1021.5,-12.6,0,337.5,3.2
04/03/2013 08:00,11,34,27,76,1100,14,8.6,1022.3,-14.4,0,45,2.8
04/03/2013 09:00,15,25,18,40,700,55,9.9,1022.6,-14.8,0,0,2.4
04/03/2013 10:00,3,7,14,30,600,72,11.5,1022.3,-14.3,0,0,0
04/03/2013 11:00,13,15,12,25,500,80,12.3,1022,-15.4,0,0,2.4
04/03/2013 12:00,13,20,10,21,500,86,13.9,1020.6,-16.2,0,0,3.3
04/03/2013 13:00,3,9,6,18,500,92,14.8,1019.5,-15.5,0,0,1.4
04/03/2013 14:00,3,6,6,18,500,92,15.3,1018.6,-15.1,0,90,1.3
04/03/2013 15:00,4,10,6,23,500,89,15.6,1018.1,-14.8,0,202.5,2
04/03/2013 16:00,18,18,9,31,600,85,14.7,1017.5,-15.5,0,225,2.9
04/03/2013 17:00,17,24,8,33,600,102,13.2,1017.8,-15.7,0,225,3
04/03/2013 18:00,20,29,9,35,600,94,12.6,1018.3,-13.4,0,225,2.9
04/03/2013 19:00,31,60,13,53,700,68,12,1018.5,-13.1,0,247.5,2.7
04/03/2013 20:00,39,86,19,68,1000,47,10.9,1018.8,-11.9,0,135,1.4
04/03/2013 21:00,51,93,28,75,1100,42,10.2,1018.8,-11.8,0,225,2
04/03/2013 22:00,59,98,24,86,1100,32,10,1018.5,-12,0,225,3
04/03/2013 23:00,66,95,46,92,1300,102,9.4,1017.5,-11.3,0,202.5,2.7
05/03/2013 00:00,74,96,60,84,1300,102,8.8,1017,-10.7,0,202.5,2.1
05/03/2013 01:00,89,116,64,76,1399,102,7.8,1016.5,-10.6,0,157,1.3
05/03/2013 02:00,95,133,NA,71,1399,102,4.7,1016.1,-10.6,0,180,0
05/03/2013 03:00,104,136,71,78,NA,102,4.5,1015.7,-9.3,0,0,0
05/03/2013 04:00,115,138,81,NA,1200,102,1.3,1015.7,-8.8,0,112.5,1.2
05/03/2013 05:00,131,146,78,94,2100,102,0.4,1015.7,-9.6,0,67.5,0.8
05/03/2013 06:00,123,133,70,104,2700,102,-0.2,1015.5,-8.4,0,67.5,1
05/03/2013 07:00,106,139,76,102,3000,102,2.1,1015.4,-8.6,0,90,0.9
05/03/2013 08:00,107,150,75,97,3000,102,5,1015.1,-8.9,0,90,1
05/03/2013 09:00,117,165,93,106,2700,102,6.7,1014.5,-8.9,0,90,1.3
05/03/2013 10:00,131,176,86,114,2600,102,9.1,1013.8,-8.5,0,90,0.9
05/03/2013 11:00,141,177,86,126,2600,102,10.9,1012.8,-8.4,0,112.5,1.3
05/03/2013 12:00,153,190,78,143,2700,18,12.3,1011.4,-8.8,0,90,0
05/03/2013 13:00,169,198,72,152,2500,102,13,1010.1,-8.3,0,67.5,1.5
05/03/2013 14:00,169,181,68,170,2600,102,13.3,1009.5,-8,0,67.5,1.6
05/03/2013 15:00,174,198,73,204,3100,102,13.8,1009.1,-7.6,0,90,1.9
05/03/2013 16:00,194,221,82,205,3000,102,13.2,1009,-7.5,0,67.5,1.8
05/03/2013 17:00,208,243,88,189,2399,94,11.6,1009.4,-7.3,0,22.50,0.7
05/03/2013 18:00,213,249,85,170,2000,68,9.4,1009.8,-5.7,0,112.5,0.7
05/03/2013 19:00,203,236,90,187,2299,47,6.7,1010.4,-5,0,112.5,0.1
05/03/2013 20:00,209,240,92,185,2500,42,5.2,1010.7,-4.7,0,0,0
05/03/2013 21:00,222,250,104,188,2899,32,4.3,1010.5,-2.6,0,67.5,1
05/03/2013 22:00,228,245,103,184,3200,30,4.3,1010.7,-4.2,0,90,0.8
05/03/2013 23:00,227,240,111,192,3100,30,4.9,1010.5,-5.8,0,90,0
06/03/2013 00:00,236,251,111,187,3299,30,5.6,1010.4,-7,0,45,0.8
06/03/2013 01:00,245,261,97,173,2700,30,3.5,1010.2,-6,0,22.50,0.5
06/03/2013 02:00,176,220,94,172,2700,30,6.3,1009.9,-7,0,45,1
06/03/2013 03:00,168,191,89,169,2600,30,6.3,1009.6,-7,0,45,0.7
06/03/2013 04:00,155,182,84,163,2500,30,5.1,1009.5,-6.5,0,45,1
06/03/2013 05:00,152,176,86,172,2399,30,4.6,1009.8,-6.3,0,45,0.7
06/03/2013 06:00,154,181,95,163,2700,30,4.1,1010.3,-6.2,0,0,0.8
06/03/2013 07:00,190,194,105,156,2600,30,5.3,1011,-6,0,45,0.9
06/03/2013 08:00,193,199,78,134,2200,30,6.9,1010.8,-6.5,0,337.5,1.3
06/03/2013 09:00,185,200,76,129,2399,30,8.4,1010.8,-6.6,0,0,0.8
06/03/2013 10:00,138,172,74,124,2299,30,8.8,1010.4,-6.2,0,45,1.1
06/03/2013 11:00,177,177,82,130,2399,30,9.5,1009.5,-6,0,67.5,1
06/03/2013 12:00,182,197,88,138,2600,30,10.4,1008.5,-5.6,0,67.5,0.2
06/03/2013 13:00,198,220,99,149,2600,30,11.5,1007.6,-5.1,0,157,0.8
06/03/2013 14:00,221,245,107,157,2799,30,13.2,1006.9,-4.5,0,202.5,1
06/03/2013 15:00,240,258,109,162,3000,30,14.7,1007,-4.6,0,225,1.3
06/03/2013 16:00,245,261,123,164,3200,30,14.6,1007.2,-4.7,0,202.5,0
06/03/2013 17:00,239,264,128,185,3500,30,11.8,1007.9,-4.4,0,270,0.6
06/03/2013 18:00,240,275,133,185,3299,22,8.5,1008.5,-4,0,292.5,0
06/03/2013 19:00,245,289,119,183,3500,22,8.5,1009.3,-4.4,0,247.5,0.4
06/03/2013 20:00,244,292,117,178,3600,22,5.8,1009.9,-3.6,0,247.5,0.2
06/03/2013 21:00,247,293,120,173,3899,22,5.3,1009.4,-4,0,247.5,0.7
06/03/2013 22:00,248,285,124,167,4500,22,8.3,1009.3,-3.6,0,135,1.8
06/03/2013 23:00,246,283,120,163,4500,22,5,1009.4,-3.3,0,22.50,1
07/03/2013 00:00,251,280,112,158,4400,22,2.9,1009.2,-3.2,0,90,0.6
07/03/2013 01:00,245,274,114,156,4299,22,2.2,1009,-3.3,0,247.5,1.6
07/03/2013 02:00,253,278,106,151,4000,22,3.3,1008.9,-3.3,0,67.5,1.6
07/03/2013 03:00,250,272,94,144,3899,22,1.2,1008.3,-3.9,0,157,0.4
07/03/2013 04:00,242,266,86,144,4400,22,0.9,1008.5,-2.5,0,45,1.4
07/03/2013 05:00,242,264,71,139,4799,22,0.5,1008.6,-3.4,0,90,0.9
07/03/2013 06:00,242,262,66,144,5500,22,-0.4,1008.4,-3.3,0,90,0.1
07/03/2013 07:00,261,281,78,165,6200,22,2.6,1008.7,-1.8,0,0,0
07/03/2013 08:00,292,314,100,174,6599,22,8.9,1008.7,-2.1,0,112.5,0.9
07/03/2013 09:00,300,337,134,181,5299,22,9.4,1007.9,-2.6,0,90,1.1
07/03/2013 10:00,289,313,126,180,4200,22,10.5,1007.2,-2.6,0,90,1
07/03/2013 11:00,260,279,120,219,5099,22,14.7,1005.5,-2.3,0,112.5,3.2
07/03/2013 12:00,288,324,121,254,5200,22,16,1003.2,-2.5,0,157,2.7
07/03/2013 13:00,312,319,108,202,3600,38,17.9,1001.8,-3,0,202.5,2.5
07/03/2013 14:00,295,297,87,150,3299,87,18.1,1000.5,-3.4,0,225,1.8
07/03/2013 15:00,308,322,73,133,3100,105,19.5,999.3,-4.8,0,225,3
07/03/2013 16:00,243,293,48,97,2000,107,19.1,998.9,-3.8,0,157,0.9
07/03/2013 17:00,214,219,60,102,2000,107,17.3,998.5,-3.5,0,135,0.4
07/03/2013 18:00,206,224,60,127,2100,107,12.5,998.9,-2.2,0,0,0.7
07/03/2013 19:00,193,211,60,171,2399,20,11.2,999.4,-1.6,0,0,1
07/03/2013 20:00,184,244,80,221,3700,107,10.2,999.6,0.2,0,315,0.5
07/03/2013 21:00,258,349,103,257,5000,107,8.6,999.5,0.1,0,0,0.6
07/03/2013 22:00,438,552,114,258,5500,107,8.1,1000.1,-0.9,0,90,0.8
07/03/2013 23:00,520,585,110,249,5400,107,7,1000,-1.4,0,135,0.4
08/03/2013 00:00,488,518,115,241,4799,107,5.4,1000,-1.5,0,67.5,0.9
08/03/2013 01:00,450,455,106,232,4900,107,5.3,1000.2,-1.8,0,292.5,0.9
08/03/2013 02:00,362,407,100,226,4799,107,4.1,999.9,-2.3,0,292.5,0
08/03/2013 03:00,322,364,89,216,4599,107,3.5,999.8,-2.5,0,225,0.6
08/03/2013 04:00,308,336,72,189,4200,107,3.4,1000.2,-2.6,0,247.5,1
08/03/2013 05:00,296,322,55,184,4500,107,3.4,1001,-2,0,292.5,0.2
08/03/2013 06:00,123,131,60,196,4799,107,3.5,1001.6,-2.5,0,90,0.7
08/03/2013 07:00,3,6,60,190,5200,107,6.6,1002.2,-0.9,0,180,0.1
08/03/2013 08:00,3,223,69,200,6000,107,11.6,1002.3,-1.9,0,112.5,1
08/03/2013 09:00,311,373,92,199,5400,107,16.6,1002.6,-3.5,0,180,1
08/03/2013 10:00,260,197,81.1104,191.3396,NA,107,19.9,1002.4,-5.2,0,90,0.9
08/03/2013 11:00,200,203,55,188,3600,107,21.2,1002,-2.7,0,135,3.1
08/03/2013 12:00,108,114,28,120,1800,107,21.7,1001.1,-4.4,0,202.5,2.9
08/03/2013 13:00,159,202,34,113,1800,107,17.2,1001,0.8,0,135,3.5
08/03/2013 14:00,203,493,58,129,2799,107,13.8,1001.2,-0.3,0,135,4.9
08/03/2013 15:00,284,422,84,138,3299,107,11.9,1001.5,-2,0,112.5,5.1
08/03/2013 16:00,163,240,58,106,1899,104,10.9,1001.7,-1.5,0,135,2.4
08/03/2013 17:00,111,131,41,84,1200,99,9.9,1001.9,-1.5,0,157,1.6
08/03/2013 18:00,52,83,33,64,1000,99,9.2,1002.4,-1,0,135,1.3
08/03/2013 19:00,88,111,30,82,1200,99,8.4,1002.4,-2.3,0,112.5,1.9
08/03/2013 20:00,58,72,35,89,1200,99,7.2,1002.2,-3.7,0,112.5,3
08/03/2013 21:00,57,80,30,85,1300,99,6,1002,-4.5,0,112.5,1.9
08/03/2013 22:00,87,43,40,96,1600,99,5.9,1001.1,-5.1,0,180,1
08/03/2013 23:00,48,53,50,84,1700,99,5.3,999.2,-5.1,0,157,0.4
09/03/2013 00:00,50,69,51,104,2299,99,4.4,997.9,-4.9,0,157,0
09/03/2013 01:00,58,77,55,79,2399,99,3,996.9,-4.2,0,0,0.1
09/03/2013 02:00,64,93,NA,76,2399,99,2.6,995.9,-3.7,0,67.5,1.2
09/03/2013 03:00,74,98,52,89,NA,99,2.3,994.7,-4.2,0,90,0.9
09/03/2013 04:00,83,99,59,NA,2100,99,1.7,993.7,-4,0,90,0
09/03/2013 05:00,81,108,71,110,2799,99,2.4,993.9,-3.9,0,337.5,1.7
09/03/2013 06:00,104,112,69,125,3000,99,4,994.1,-3.5,0,315,1.4
09/03/2013 07:00,113,135,60,118,2399,99,5,994.7,-2.8,0,67.5,1.7
09/03/2013 08:00,110,140,60,116,2399,99,7,996,-3.3,0,157,0.4
09/03/2013 09:00,114,158,74,110,2100,99,14.3,997.3,-1.8,0,337.5,5.3
09/03/2013 10:00,151,365,92,105,2100,99,17.3,999.6,-5.9,0,337.5,7.5
09/03/2013 11:00,94,556,51,48,800,99,13.8,1002.9,-10.9,0,0,6.1
09/03/2013 12:00,77,NA,8,23,400,99,11.7,1005.8,-16.8,0,0,9.2
09/03/2013 13:00,43,587,3,19,300,99,9.9,1008.5,-19.3,0,0,6.4
09/03/2013 14:00,42,602,3,17,300,95,9.5,1009.8,-19.6,0,0,7.1
09/03/2013 15:00,38,495,3,17,300,95,9.7,1011.1,-19.4,0,337.5,4.7
09/03/2013 16:00,22,276,3,18,300,95,10,1012.8,-20.3,0,337.5,6.2
09/03/2013 17:00,17,187,3,18,300,95,8.9,1014.7,-20.1,0,337.5,6.5
09/03/2013 18:00,23,143,3,18,300,94,7.9,1017.5,-20.8,0,22.50,5.2
09/03/2013 19:00,13,94,3,19,400,94,6.9,1019.2,-20.6,0,337.5,7.1
09/03/2013 20:00,13,136,3,18,400,94,6.1,1021,-20.3,0,0,8.8
09/03/2013 21:00,12,66,3,19,400,94,5.6,1022.6,-19.9,0,0,4.5
09/03/2013 22:00,9,35,3,20,400,94,5.3,1023.1,-20.1,0,22.50,2.4
09/03/2013 23:00,9,12,3,22,400,94,4.3,1023.4,-20.1,0,22.50,1.6
10/03/2013 00:00,13,16,3,29,500,94,2.1,1022.9,-17.5,0,112.5,1.6
10/03/2013 01:00,3,10,8,40,500,94,0.2,1023.2,-16.6,0,90,0.5
10/03/2013 02:00,3,12,12,44,500,94,-1.6,1023.1,-15.8,0,0,0
10/03/2013 03:00,13,19,16,60,700,94,-0.9,1023.3,-15.9,0,0,0
10/03/2013 04:00,3,20,18,64,800,94,-1.9,1024,-14.7,0,22.50,0
10/03/2013 05:00,18,52,14,69,1000,94,-2.8,1024.1,-13.4,0,0,0
10/03/2013 06:00,22,47,17,81,2200,94,-2.1,1024.4,-13.3,0,0,0.1
10/03/2013 07:00,29,44,21,80,1500,94,3.7,1025.4,-15.6,0,247.5,3
10/03/2013 08:00,29,45,22,81,NA,94,5.7,1025.5,-16.8,0,225,2.8
10/03/2013 09:00,29,62,29,51,900,94,6.8,1025,-17.3,0,225,5.2
10/03/2013 10:00,25,52,19,41,900,94,8.7,1024.3,-17.4,0,202.5,3.1
10/03/2013 11:00,31,80,17,32,900,94,9.9,1023.7,-17.3,0,247.5,2.4
10/03/2013 12:00,28,52,18,31,700,94,11.3,1022.8,-17.2,0,225,1.3
10/03/2013 13:00,35,49,16,31,700,94,11.2,1021.7,-17.2,0,202.5,3.8
10/03/2013 14:00,35,55,13,29,600,94,11.4,1020.8,-16.1,0,202.5,3.9
10/03/2013 15:00,42,75,13,28,600,97,11.3,1020.4,-16.2,0,202.5,3.9
10/03/2013 16:00,40,72,15,30,600,97,10.8,1020.2,-14.9,0,225,4.6
10/03/2013 17:00,45,103,19,36,600,97,9.6,1020.2,-14.3,0,202.5,3
10/03/2013 18:00,50,108,19,43,700,97,8.9,1020.6,-13.5,0,202.5,3.7
10/03/2013 19:00,60,100,24,51,800,97,8.3,1020.9,-12.8,0,202.5,3.2
10/03/2013 20:00,74,130,28,75,1000,97,7.6,1021.1,-12.3,0,180,2.4
10/03/2013 21:00,78,120,26,84,1200,97,7.2,1021.2,-12.1,0,202.5,2.8
10/03/2013 22:00,81,139,34,88,1700,97,6.8,1020.6,-11.9,0,225,2.3
10/03/2013 23:00,86,133,41,79,1399,97,6.7,1020.7,-12.5,0,225,2.4
11/03/2013 00:00,92,143,60,63,1100,97,5.3,1020.5,-11.3,0,180,0.9
11/03/2013 01:00,103,156,67,74,1399,97,4.5,1020.1,-11.2,0,180,0.8
11/03/2013 02:00,104,138,67,79,1399,97,3.6,1019.3,-10.5,0,180,0.4
11/03/2013 03:00,105,143,65,71,1300,97,2.4,1019,-9.9,0,135,0.4
11/03/2013 04:00,104,135,58,78,1300,97,0.2,1018.9,-9,0,135,1.6
11/03/2013 05:00,106,141,47,76,1399,97,1.5,1018.9,-8.9,0,135,0.1
11/03/2013 06:00,99,124,52,77,1300,97,-0.2,1019.1,-8.2,0,112.5,0.8
11/03/2013 07:00,83,105,36,83,1800,97,2.1,1019.2,-7.8,0,90,0.8
11/03/2013 08:00,98,124,46,86,1500,97,5,1019.1,-8.2,0,90,0.8
11/03/2013 09:00,102,127,69,81,1399,97,6,1018.6,-8.7,0,157,2.3
11/03/2013 10:00,118,145,92,83,1500,97,7.5,1017.8,-8.6,0,90,2.2
11/03/2013 11:00,119,146,92,83,NA,97,9.1,1016.5,-9.4,0,112.5,2
11/03/2013 12:00,3,3,198,85,1899,97,10.5,1015.2,-9.3,0,180,1.9
11/03/2013 13:00,89,146,96,86,1000,97,11.6,1013.8,-7.8,0,202.5,3.1
11/03/2013 14:00,121,148,87,68,800,97,11.8,1012.8,-7.6,0,202.5,3.7
11/03/2013 15:00,106,126,84,65,800,93,11.6,1012.1,-7.8,0,247.5,3.4
11/03/2013 16:00,114,152,94,76,900,86,11,1011.3,-6.4,0,225,2.7
11/03/2013 17:00,140,199,137,89,1600,85,10.6,1011.6,-4.6,0,180,2.2
11/03/2013 18:00,141,202,79,86,1100,76,10.4,1011.9,-4.1,0,180,1.3
11/03/2013 19:00,150,200,57,88,1100,57,10.4,1012.2,-3.3,0,157,0.8
11/03/2013 20:00,165,224,64,112,1300,57,10.2,1012.4,-5,0,202.5,1.1
11/03/2013 21:00,178,229,64,116,1399,57,9.6,1011.8,-5.1,0,157,0.8
11/03/2013 22:00,136,200,52,107,1200,57,9.2,1011.5,-5.5,0,112.5,1.5
11/03/2013 23:00,103,139,40,83,900,57,8.5,1010.4,-5.4,0,112.5,0.9
12/03/2013 00:00,98,136,42,89,900,57,7.8,1009.7,-5.3,0,157,1.3
12/03/2013 01:00,115,166,56,97,1200,57,7.6,1008.8,-4.8,0,135,1.1
12/03/2013 02:00,125,164,55,89,1300,57,6.7,1007.9,-3.8,0,90,0.8
12/03/2013 03:00,120,145,53,84,1100,57,7.2,1008,-2.8,0,157,1.5
12/03/2013 04:00,113,141,52,82,1100,57,5.6,1008.6,-0.1,0.5,135,0.2
12/03/2013 05:00,131,160,41,87,1700,57,4.5,1008.3,0.8,0.3,112.5,1.7
12/03/2013 06:00,133,143,24,91,2000,57,3.8,1008.5,2,1,67.5,0
12/03/2013 07:00,124,144,18,76,1399,57,3,1008.8,1.5,2.6,202.5,0.9
12/03/2013 08:00,116,92,13,76,1300,57,3.4,1008.8,2.2,0.3,67.5,1.7
12/03/2013 09:00,117,98,12,81,1399,57,3.5,1008.6,2.3,0.1,45,1.3
12/03/2013 10:00,110,116,14,90,1600,57,3.7,1008.9,2.5,0.2,45,0.9
12/03/2013 11:00,146,116,15,93,1600,57,4,1008.7,2.7,0.1,90,1.6
12/03/2013 12:00,158,124,15,93,1700,57,4.6,1008.2,2.8,0.1,45,1.3
12/03/2013 13:00,151,112,19,89,1500,57,4.9,1008.8,3.2,0,0,1.5
12/03/2013 14:00,134,100,24,87,1300,57,5.2,1009.1,3.4,0,45,2.1
12/03/2013 15:00,134,98,21,84,1300,48,5.6,1009.3,3.8,0,90,1.5
12/03/2013 16:00,136,112,22,88,1300,40,6.5,1009.7,3.8,0.1,67.5,0
12/03/2013 17:00,138,108,23,86,1399,40,6.4,1011.3,3.5,0,45,0.8
12/03/2013 18:00,123,126,29,99,1300,36,5.3,1012.7,3.5,0,67.5,1.4
12/03/2013 19:00,123,124,28,104,1399,17,4.6,1014.3,3.4,0,202.5,0.6
12/03/2013 20:00,140,125,26,98,1399,17,4.6,1016.3,3.4,0,67.5,0.8
12/03/2013 21:00,133,117,24,92,1500,17,4.6,1017.6,3.6,0,67.5,1.9
12/03/2013 22:00,123,126,25,95,1899,17,4.1,1018.7,1.6,0,45,0.9
12/03/2013 23:00,101,127,31,83,1200,11,5.3,1019.5,-6.3,0,0,2.5
13/03/2013 00:00,38,15,32,45,300,46,4.5,1020.3,-9,0,22.50,3.5
13/03/2013 01:00,16,20,15,25,NA,76,3.4,1020.8,-9.3,0,67.5,1.6
13/03/2013 02:00,3,6,15,19,NA,76,2.3,1021.2,-9.9,0,45,1.5
13/03/2013 03:00,3,6,9,19,NA,76,1.5,1021.8,-11.3,0,45,1.1
13/03/2013 04:00,3,7,8,19,300,79,0.7,1022.6,-10.2,0,90,1.2
13/03/2013 05:00,9,10,9,28,400,79,0.3,1023.3,-10.5,0,67.5,1.5
13/03/2013 06:00,12,14,15,35,500,79,0.1,1024.4,-10.7,0,45,0.9
13/03/2013 07:00,11,20,19,59,600,79,2.2,1025.7,-11,0,67.5,1.8
13/03/2013 08:00,18,31,22,57,600,79,3,1027.1,-12.1,0,67.5,4
13/03/2013 09:00,15,30,18,43,500,79,4,1027.5,-13.4,0,67.5,3.4
13/03/2013 10:00,16,26,11,32,400,79,4.7,1027.4,-13.7,0,90,2.3
13/03/2013 11:00,12,16,7,25,400,79,5.7,1026.7,-11.9,0,90,2.9
13/03/2013 12:00,9,16,6,23,400,79,6.1,1026,-15.9,0,45,1.5
13/03/2013 13:00,16,6,5,20,400,83,7.1,1024.9,-15,0,22.50,1.4
13/03/2013 14:00,13,24,5,22,300,84,8.3,1024.3,-16.1,0,67.5,0.9
13/03/2013 15:00,9,13,6,22,300,84,8.2,1023.9,-14.8,0,135,2.8
