longitudinal_center_buoyancy;prismatic_coefficient;length_displacement_ratio;beam_draught_ratio;lenght_beam_ratio;froude_number;residuary_resistance
-5;0.565;4.77;3.99;3.15;0.425;34.58
-5;0.565;4.77;3.99;3.15;0.45;51.77
0;0.565;5.1;3.94;3.51;0.125;0.08
0;0.565;5.1;3.94;3.51;0.15;0.26
0;0.565;5.1;3.94;3.51;0.175;0.5
0;0.565;5.1;3.94;3.51;0.2;0.83
0;0.565;5.1;3.94;3.51;0.225;1.28
0;0.565;5.1;3.94;3.51;0.25;1.9
0;0.565;5.1;3.94;3.51;0.275;2.68
0;0.565;5.1;3.94;3.51;0.3;3.76
0;0.565;5.1;3.94;3.51;0.325;5.57
0;0.565;5.1;3.94;3.51;0.35;8.76
0;0.565;5.1;3.94;3.51;0.375;14.24
0;0.565;5.1;3.94;3.51;0.4;23.05
0;0.565;5.1;3.94;3.51;0.425;35.46
0;0.565;5.1;3.94;3.51;0.45;51.99
-5;0.565;5.1;3.94;3.51;0.125;0.08
-5;0.565;5.1;3.94;3.51;0.15;0.24
-5;0.565;5.1;3.94;3.51;0.175;0.45
-5;0.565;5.1;3.94;3.51;0.2;0.77
-5;0.565;5.1;3.94;3.51;0.225;1.19
-5;0.565;5.1;3.94;3.51;0.25;1.76
-5;0.565;5.1;3.94;3.51;0.275;2.59
-5;0.565;5.1;3.94;3.51;0.3;3.85
-5;0.565;5.1;3.94;3.51;0.325;5.27
-5;0.565;5.1;3.94;3.51;0.35;7.74
-5;0.565;5.1;3.94;3.51;0.375;12.4
-5;0.565;5.1;3.94;3.51;0.4;20.91
-5;0.565;5.1;3.94;3.51;0.425;33.23
-5;0.565;5.1;3.94;3.51;0.45;49.14
-2.3;0.53;5.11;3.69;3.51;0.125;0.08
-2.3;0.53;5.11;3.69;3.51;0.15;0.25
-2.3;0.53;5.11;3.69;3.51;0.175;0.46
-2.3;0.53;5.11;3.69;3.51;0.2;0.75
-2.3;0.53;5.11;3.69;3.51;0.225;1.11
-2.3;0.53;5.11;3.69;3.51;0.25;1.57
-2.3;0.53;5.11;3.69;3.51;0.275;2.17
-2.3;0.53;5.11;3.69;3.51;0.3;2.98
-2.3;0.53;5.11;3.69;3.51;0.325;4.42
-2.3;0.53;5.11;3.69;3.51;0.35;7.84
-2.3;0.53;5.11;3.69;3.51;0.375;14.11
-2.3;0.53;5.11;3.69;3.51;0.4;24.14
-2.3;0.53;5.11;3.69;3.51;0.425;37.95
-2.3;0.53;5.11;3.69;3.51;0.45;55.17
-2.3;0.53;4.76;3.68;3.16;0.125;0.1
-2.3;0.53;4.76;3.68;3.16;0.15;0.23
-2.3;0.53;4.76;3.68;3.16;0.175;0.47
-2.3;0.53;4.76;3.68;3.16;0.2;0.76
-2.3;0.53;4.76;3.68;3.16;0.225;1.15
-2.3;0.53;4.76;3.68;3.16;0.25;1.65
-2.3;0.53;4.76;3.68;3.16;0.275;2.28
-2.3;0.53;4.76;3.68;3.16;0.3;3.09
-2.3;0.53;4.76;3.68;3.16;0.325;4.41
-2.3;0.53;4.76;3.68;3.16;0.35;7.51
-2.3;0.53;4.76;3.68;3.16;0.375;13.77
-2.3;0.53;4.76;3.68;3.16;0.4;23.96
-2.3;0.53;4.76;3.68;3.16;0.425;37.38
-2.3;0.53;4.76;3.68;3.16;0.45;56.46
-2.3;0.53;4.34;2.81;3.15;0.125;0.05
-2.3;0.53;4.34;2.81;3.15;0.15;0.17
-2.3;0.53;4.34;2.81;3.15;0.175;0.35
-2.3;0.53;4.34;2.81;3.15;0.2;0.63
-2.3;0.53;4.34;2.81;3.15;0.225;1.01
-2.3;0.53;4.34;2.81;3.15;0.25;1.43
-2.3;0.53;4.34;2.81;3.15;0.275;2.05
-2.3;0.53;4.34;2.81;3.15;0.3;2.73
-2.3;0.53;4.34;2.81;3.15;0.325;3.87
-2.3;0.53;4.34;2.81;3.15;0.35;7.19
-2.3;0.53;4.34;2.81;3.15;0.375;13.96
-2.3;0.53;4.34;2.81;3.15;0.4;25.18
-2.3;0.53;4.34;2.81;3.15;0.425;41.34
-2.3;0.53;4.34;2.81;3.15;0.45;62.42
0;0.6;4.78;4.24;3.15;0.125;0.03
0;0.6;4.78;4.24;3.15;0.15;0.18
0;0.6;4.78;4.24;3.15;0.175;0.4
0;0.6;4.78;4.24;3.15;0.2;0.73
0;0.6;4.78;4.24;3.15;0.225;1.3
0;0.6;4.78;4.24;3.15;0.25;2.16
0;0.6;4.78;4.24;3.15;0.275;3.35
0;0.6;4.78;4.24;3.15;0.3;5.06
0;0.6;4.78;4.24;3.15;0.325;7.14
0;0.6;4.78;4.24;3.15;0.35;10.36
0;0.6;4.78;4.24;3.15;0.375;15.25
0;0.6;4.78;4.24;3.15;0.4;23.15
0;0.6;4.78;4.24;3.15;0.425;34.62
0;0.6;4.78;4.24;3.15;0.45;51.5
-5;0.6;4.78;4.24;3.15;0.125;0.06
-5;0.6;4.78;4.24;3.15;0.15;0.15
-5;0.6;4.78;4.24;3.15;0.175;0.34
-5;0.6;4.78;4.24;3.15;0.2;0.63
-5;0.6;4.78;4.24;3.15;0.225;1.13
-5;0.6;4.78;4.24;3.15;0.25;1.85
-5;0.6;4.78;4.24;3.15;0.275;2.84
-5;0.6;4.78;4.24;3.15;0.3;4.34
-5;0.6;4.78;4.24;3.15;0.325;6.2
-5;0.6;4.78;4.24;3.15;0.35;8.62
-5;0.6;4.78;4.24;3.15;0.375;12.49
-5;0.6;4.78;4.24;3.15;0.4;20.41
-5;0.6;4.78;4.24;3.15;0.425;32.46
-5;0.6;4.78;4.24;3.15;0.45;50.94
0;0.53;4.78;3.75;3.15;0.125;0.16
0;0.53;4.78;3.75;3.15;0.15;0.32
0;0.53;4.78;3.75;3.15;0.175;0.59
0;0.53;4.78;3.75;3.15;0.2;0.92
0;0.53;4.78;3.75;3.15;0.225;1.37
0;0.53;4.78;3.75;3.15;0.25;1.94
0;0.53;4.78;3.75;3.15;0.275;2.62
0;0.53;4.78;3.75;3.15;0.3;3.7
0;0.53;4.78;3.75;3.15;0.325;5.45
0;0.53;4.78;3.75;3.15;0.35;9.45
0;0.53;4.78;3.75;3.15;0.375;16.31
0;0.53;4.78;3.75;3.15;0.4;27.34
0;0.53;4.78;3.75;3.15;0.425;41.77
0;0.53;4.78;3.75;3.15;0.45;60.85
-5;0.53;4.78;3.75;3.15;0.125;0.09
-5;0.53;4.78;3.75;3.15;0.15;0.24
-5;0.53;4.78;3.75;3.15;0.175;0.47
-5;0.53;4.78;3.75;3.15;0.2;0.78
-5;0.53;4.78;3.75;3.15;0.225;1.21
-5;0.53;4.78;3.75;3.15;0.25;1.85
-5;0.53;4.78;3.75;3.15;0.275;2.62
-5;0.53;4.78;3.75;3.15;0.3;3.69
-5;0.53;4.78;3.75;3.15;0.325;5.07
-5;0.53;4.78;3.75;3.15;0.35;7.95
-5;0.53;4.78;3.75;3.15;0.375;13.73
-5;0.53;4.78;3.75;3.15;0.4;23.55
-5;0.53;4.78;3.75;3.15;0.425;37.14
-5;0.53;4.78;3.75;3.15;0.45;55.87
-2.3;0.6;5.1;4.17;3.51;0.125;0.01
-2.3;0.6;5.1;4.17;3.51;0.15;0.16
-2.3;0.6;5.1;4.17;3.51;0.175;0.39
-2.3;0.6;5.1;4.17;3.51;0.2;0.73
-2.3;0.6;5.1;4.17;3.51;0.225;1.24
-2.3;0.6;5.1;4.17;3.51;0.25;1.96
-2.3;0.6;5.1;4.17;3.51;0.275;3.04
-2.3;0.6;5.1;4.17;3.51;0.3;4.46
-2.3;0.6;5.1;4.17;3.51;0.325;6.31
-2.3;0.6;5.1;4.17;3.51;0.35;8.68
-2.3;0.6;5.1;4.17;3.51;0.375;12.39
-2.3;0.6;5.1;4.17;3.51;0.4;20.14
-2.3;0.6;5.1;4.17;3.51;0.425;31.77
-2.3;0.6;5.1;4.17;3.51;0.45;47.13
-2.3;0.6;4.34;4.23;2.73;0.125;0.04
-2.3;0.6;4.34;4.23;2.73;0.15;0.17
-2.3;0.6;4.34;4.23;2.73;0.175;0.36
-2.3;0.6;4.34;4.23;2.73;0.2;0.64
-2.3;0.6;4.34;4.23;2.73;0.225;1.02
-2.3;0.6;4.34;4.23;2.73;0.25;1.62
-2.3;0.6;4.34;4.23;2.73;0.275;2.63
-2.3;0.6;4.34;4.23;2.73;0.3;4.15
-2.3;0.6;4.34;4.23;2.73;0.325;6
-2.3;0.6;4.34;4.23;2.73;0.35;8.47
-2.3;0.6;4.34;4.23;2.73;0.375;12.27
-2.3;0.6;4.34;4.23;2.73;0.4;19.59
-2.3;0.6;4.34;4.23;2.73;0.425;30.48
-2.3;0.6;4.34;4.23;2.73;0.45;46.66
