Tom has two girlfriends.	Tom tiene dos novias.
I've never been to my grandfather's house.	Yo nunca he estado en la casa de mi abuelo.
Tom climbed down from the tree.	Tom se bajo del arbol.
I don't want Tom at my party.	No quiero a Tom en mi fiesta.
The boy is wearing glasses.	El muchacho usa anteojos.
All the students have gone home.	Todos los estudiantes se han ido a casa.
If you cut the tail off of a lizard, it will grow back.	Si a una lagartija le cortas la cola, le crece de nuevo.
What is the price of this watch?	¿Cuanto vale este reloj?
Tom remained outside.	Tom se quedo afuera.
I lost an earring.	Perdi un arete.
We want peace in the world.	Queremos paz en el mundo.
I'm going to take a nap.	Voy a echarme la siesta.
Have you been told when to come?	¿Te dijeron cuando tienes que venir?
Can I watch your next game?	¿Puedo ver tu proximo juego?
The door won't budge.	La puerta no cedera.
Nothing is wrong.	No hay nada erroneo.
He came across his old friend while walking in the park.	El se cruzo con su viejo amigo mientras caminaba por el parque.
The car has been acting strangely.	El auto se ha estado comportando extrano.
I got hit.	Me alcanzaron.
It was torture for him to see his girlfriend with another man.	Ver a su novia con otro hombre era una tortura para el.
You must be very busy now.	Ahora debes de estar muy ocupado.
Tom knows he can count on Mary.	Tom sabe que puede contar con Mary.
Does the room have air conditioning?	¿Tiene acondicionador de aire la habitacion?
The suit's custom-made.	El traje esta hecho a la medida.
Tom had absolutely nothing to do with it.	Tom no tuvo absolutamente nada que ver.
You'll have to study harder from now on.	Tendras que estudiar mas de ahora en adelante.
She suddenly became famous.	Ella de repente se hizo famosa.
You're stalling.	Estas atascado.
I don't like learning irregular verbs.	No me gusta aprender los verbos irregulares.
Her hobby was collecting old coins.	Su pasatiempo era coleccionar monedas antiguas.
I want you to sing a song.	Quiero que cantes una cancion.
Tom wanted to have dinner in bed.	Tom queria cenar en cama.
Mind your own business!	¡Metete en tus asuntos!
Tom is staying.	Tomas se queda.
Tom might be able to convince Mary to do that.	Tom podria ser capaz de convencer a Mary para que hiciera eso.
I have to take a shower.	Me tengo que banar.
It's not a coincidence.	No es una coincidencia.
He isn't able to drive a car.	El no puede conducir un carro.
In my family, the punishment for lying was severe.	En mi familia, el castigo por mentir era severo.
I want you to go to the post office.	Quiero que vayas a la oficina de correos.
Is that so bad?	¿Acaso es tan malo?
He is her friend.	El es su amigo.
Getting up at 6 a.m. was hard at first, but now I'm used to it.	Al principio me costaba levantarme a las 6 de la manana, pero ahora estoy acostumbrado.
Do you know how my friends describe me?	¿Sabes como me describen mis amigas?
I sometimes lie on the grass.	A veces me echo en el pasto.
Tom is being hunted by the police.	Tom esta siendo perseguido por la policia.
What I want now is not money, but time.	Lo que ahora quiero no es dinero sino tiempo.
Could you tell me how to get to Osaka station?	¿Me podria indicar como llegar a la estacion de Osaka?
You'll think of something.	Ya se te ocurrira algo.
You should face reality.	Deberias enfrentarte a la realidad.
We won.	Ganamos.
The stone is perfectly smooth.	La piedra es perfectamente plana.
You've spilled your coffee.	Tu has derramado tu cafe.
It's OK to eat the rest of the cake if you want.	Puedes comerte el resto del pastel si quieres.
With friends like that, who needs enemies?	Con amigos asi, ¿quien necesita enemigos?
There was a lot of furniture in the room.	Habia muchos muebles en esa habitacion.
You will soon come to like this town.	Te gustara esta ciudad enseguida.
Tom served two months in jail for drunken driving.	Tom estuvo dos meses en la carcel por conducir borracho.
Tom will be eligible for parole in five years.	Tom podra optar a libertad condicional en cinco anos.
Tom thanked me for changing his life.	Tom me agradecio que cambiara su vida.
That's an interesting theory.	Esa es una teoria interesante.
There were only six people at the party.	Solo habia seis personas en la fiesta.
It's difficult to help people who don't believe they need help.	Es dificil ayudar a las personas que no creen necesitar ayuda.
The small boy slowly made some new friends.	El nino poco a poco hizo algunos nuevos amigos.
Economy cars save you money.	Los vehiculos economicos te ahorran dinero.
The nurse gave me a shot.	La enfermera me puso una inyeccion.
Is she nice?	¿Ella es simpatica?
I will have to be away for some time.	Voy a tener que ausentarme por un tiempo.
Tom stared at Mary.	Tom miro fijamente a Mary.
There was an earthquake yesterday.	Hubo un terremoto ayer.
We must move this statue very carefully.	Debemos mover esta estatua muy cuidadosamente.
I received an invitation.	Recibi una invitacion.
It was good working with you.	Estuvo bien trabajar contigo.
When does the performance end?	¿Cuando acaba la actuacion?
It's finally Friday.	Finalmente es viernes.
It was wise of you to ask him for help.	Fue sabio de tu parte pedirle ayuda a el.
Tom wanted to ask Mary about how John died.	Tom queria preguntarle a Mary como habia muerto John.
He fascinated me.	El me fascinaba.
You have three seconds to make your choice.	Tienes tres segundos para tomar tu decision.
A number of people die in traffic accidents.	Mucha gente muere en accidentes de transito.
Tom can't speak French, can he?	Tom no sabe hablar frances, ¿verdad?
Tom and Mary are very much in love.	Tom y Mary estan muy enamorados.
I thought I'd never see you again.	Pense que jamas te volveria a ver.
He's a lovely young man.	Es un muchacho encantador.
You pay for quality.	Tu pagas por calidad.
Is that your book?	¿Es ese tu libro?
I don't want to meet Tom.	No quiero encontrarme con Tom.
He had long hair last year.	El tenia el pelo largo el ano pasado.
Tom has broken something again.	Tomas otra vez ha roto algo.
I have to pay the bill.	Tengo que pagar la cuenta.
Were you surprised?	¿Te sorprendiste?
I've heard rumors.	He oido rumores.
Let's quit here and continue tomorrow.	Dejemoslo aqui y sigamos manana.
Hey, where's Tom?	¡Eh!, ¿donde esta Tom?
The juggler wowed the crowd by keeping ten oranges up in the air.	El malabarista asombro a la audiencia manteniendo diez naranjas en el aire.
Tom told Mary.	Tom se lo dijo a Mary.
Tom is Mary's boss.	Tom es el jefe de Mary.
Write your name in capitals.	Escriba su nombre en mayusculas.
Tom couldn't make himself understood.	Tom no podia hacerse entender.
Tom ate what little food he had left.	Tom se comio la poca comida que le quedaba.
Tom wanted Mary to bring him a cup of coffee.	Tom queria que Mary le trajera una taza de cafe.
My parents aren't home right now.	Mis padres no estan en casa ahorita.
I've told you everything.	Te lo conte todo.
It's a very pressing matter.	Es un asunto muy urgente.
Are my socks dry already?	¿Mis calcetines ya estan secos?
It was a big mistake.	Fue un gran error.
I went to the supermarket.	Fui al supermercado.
That could solve a lot of problems.	Eso podria solucionar muchos problemas.
I can't stand him.	No le aguanto.
You're not crazy.	No estas loco.
She is about to leave.	Ella esta a punto de partir.
Did you want to show me something?	¿Querias mostrarme algo?
Tom heard that Mary had died.	Tom oyo que Mary habia muerto.
I'm not going to send Tom a Christmas card.	No le voy a enviar a Tom una tarjeta navidena.
Tom carved his initials on the large oak tree in front of the school.	Tom tallo sus iniciales en un gran roble frente al colegio.
Tom left three days ago.	Tom partio tres dias atras.
Two's company, three's a crowd.	Dos son compania, tres son multitud.
I was dismissed.	Fui despedido.
Tom makes Mary very happy.	Tom hace muy feliz a Mary.
Tom sensed that Mary was in pain.	Tom sintio que Mary estaba sufriendo.
You were happy.	Estaban felices.
You look busy.	Pareces ocupado.
Please stop the war.	Deten la guerra, por favor.
Shall I clean the room?	¿Arreglo la habitacion?
They chose Tom as their leader.	Eligieron a Tom como su lider.
I read a lot of modern authors.	Lei muchos autores modernos.
The rain is wonderful.	La lluvia es maravillosa.
I thought he wouldn't come.	Pense que el no vendria.
Where do we begin?	¿Por donde empezamos?
He doesn't smoke and he doesn't drink vodka.	El no fuma y no bebe vodka.
That's hard to say.	Eso es dificil de decir.
We were right.	Teniamos razon.
I think it's kind of stupid.	Yo pienso que es medio estupido.
I told them to stop.	Les dije que pararan.
Please follow me.	Por favor, sigame.
When would you like to begin?	¿Cuando te gustaria empezar?
It looks delicious.	Se ve delicioso.
I'm going to make you an offer that you can't refuse.	Voy a hacerte una oferta que no podras rechazar.
I like being alone.	Me gusta estar solo.
She told us that we must call a doctor immediately.	Ella dijo que llamaramos a un medico inmediatamente.
Money isn't everything, but if you have no money, you can't do anything.	El dinero no lo es todo, pero si no teneis dinero, no podeis hacer nada.
Don't forget your money.	No olvides el dinero.
Would you please tell me the way to the station?	¿Me podria decir por favor el camino hacia la estacion?
Pardon me while I gag.	Perdoname por bromear.
As soon as I sat down, I fell asleep.	En cuanto me sente, me quede frita.
Tom left Mary a note.	Tom le dejo una nota a Mary.
Are your kids still in bed?	¿Estan tus ninos todavia en la cama?
Someone knocked on the door.	Alguien ha llamado a la puerta.
Could you translate this document into French for me?	¿Puedes traducirme este documento al frances?
I'm going to pick Tom up.	Voy a recoger a Tom.
The village is located high up in the mountains.	La villa se ubica en lo alto de las montanas.
If you have a minute, I'd like to talk to you about some problems.	Si tienes un minuto, quisiera hablar contigo sobre algunos problemas.
Women generally live longer than men.	Las mujeres generalmente viven mas que los hombres.
You can't blame him for the accident.	No lo puedes culpar a el por el accidente.
He was bound hand and foot.	Estaba atado de pies y manos.
Tom was my best friend when I was a kid.	Tom era mi mejor amigo cuando yo era pequeno.
Tom won the bet.	Tom gano la apuesta.
Do you need to do that again?	¿Necesitas hacerlo otra vez?
I don't have anything to give to you.	No tengo nada que darte.
Are you the one who let the dog in?	¿Eres tu quien dejo pasar al perro?
She gave him something hot to drink.	Ella le dio algo caliente para beber.
He promised to be here at 6.	El prometio estar aqui a las seis.
When does he get back from his trip?	¿Cuando va a regresar de su viaje?
Wax the floor.	Encera el piso.
I've decided what to cook for dinner.	He decidido que cocinar para la cena.
Be quick, or you will miss the train.	Apresurate o te vas a perder el tren.
Where did you leave your shoes?	¿Donde dejaste tus zapatos?
Are you going, too?	¿Tu tambien vas?
This is our fault.	Es culpa nuestra.
She looks a lot like her mother.	Se parece mucho a su madre.
Good traditions should be preserved.	Las buenas tradiciones deberian ser preservadas.
True friendship is priceless.	La verdadera amistad es invaluable.
You'll see it.	Lo veras.
My father grew old.	Mi padre envejecio.
Don't add too much salt.	No le pongas demasiada sal.
Look away.	Mire para otro lado.
The lake is very deep.	El lago esta muy hondo.
Don't say his name.	No pronuncies su nombre.
Tom knows how to keep his mouth shut.	Tom sabe como mantener la boca cerrada.
It's an absurd allegation.	Es una acusacion absurda.
No one would blame you if you left right now.	Nadie te culparia si te fueras ahora mismo.
I can't wait forever.	No puedo esperar hasta el infinito.
I know what's wrong with me.	Yo se lo que me pasa.
I like spicy Mexican food.	Me gusta la comida picante mejicana.
People believe what they want to believe.	La gente cree lo que quiere creer.
Can you give me your cell number?	¿Puedes darme tu numero de celular?
You have no need to hurry.	No necesitas apresurarte.
This is so depressing.	Esto es tan deprimente.
She enjoyed herself very much at the party yesterday.	Ella se divirtio mucho en la fiesta de ayer.
Why does Tom hate me?	¿Por que Tom me odia?
I was playing tennis all day.	Estuve jugando tenis el dia entero.
The building is one hundred meters high.	El edificio tiene una altura de cien metros.
I plugged in the TV.	Conecte la tele.
I've just arrived at the airport.	Acabo de llegar al aeropuerto.
He walked at a quick pace.	Caminaba a paso rapido.
School is boring.	El colegio es aburrido.
I don't want to lose this match.	No quiero perder este juego.
Tom finally mustered up the courage to ask Mary to go out with him.	Tom por fin reunio el valor para pedirle a Mary que saliera con el.
Tom is going camping next weekend.	Tom va a ir a acampar el proximo fin de semana.
The boy lay on the sofa.	El nino estaba echado encima del sofa.
Where did he find the money?	¿Donde encontro el dinero?
She has a long nose.	Ella tiene una narizota.
Please say yes.	Por favor, deci que si.
Tom is trying to lose weight.	Tom esta intentando bajar de peso.
He's out of position.	Esta fuera de posicion.
Tom was stabbed with a knife.	A Tom le apunalaron con un cuchillo.
I think Tom's grandmother is too old to wear a miniskirt.	Yo pienso que la abuela de Tom es demasiado vieja para ponerse minifalda.
He accelerated his car and overtook me.	El acelero su auto y me sobrepaso.
There is a possibility that we won't have to shut down the factory.	Hay una posibilidad de que no tengamos que clausurar la fabrica.
I'd like to have breakfast with you.	Quisiera desayunar con usted.
I'm reading the Bible for the first time.	Estoy leyendo la Biblia por primera vez.
His advice didn't help much.	Su consejo no sirvio de mucho.
Please don't argue.	Por favor, no discutan.
I'm okay.	Estoy perfectamente.
The hole is big enough.	El agujero es lo suficientemente grande.
I know that hard work pays off.	Se que el trabajo duro compensa.
Variable names in C are case sensitive.	Los nombres de variables en C son case sensitive.
Nobody loves war.	La guerra no le gusta a nadie.
That's what Tom was looking for.	Eso es lo que Tom estaba buscando.
That ended better than I expected.	Eso termino mejor de lo que esperaba.
We see what we expect to see.	Vemos lo que esperamos ver.
He parked his car behind the building.	El aparco el coche detras del edificio.
Hurricanes are violent storms.	Los huracanes son tempestades violentas.
You're very pretty.	Eres muy linda.
I chose him a nice tie.	Elegi una bonita corbata para el.
Can you come?	¿Puedes venir?
The policeman is wearing a gas mask.	El policia lleva puesta una mascara de gas.
I don't know much about computers.	No se mucho de computadoras.
Make a list.	Haz una lista.
I hope we'll see each other again sometime.	Espero que podamos vernos en algun momento otra vez.
I don't understand why you want it.	No entiendo por que la quereis.
I wanted to give you something, but I wasn't sure what you'd like.	Queria darte algo, pero no estaba seguro de que te gustaria.
The students made her life happy.	Los estudiantes alegraron su vida.
Who are these men?	¿Quienes son esos hombres?
The side of the house was covered with ivy.	El lateral de la casa fue cubierto con hiedra.
Who cheated?	¿Quien hizo trampas?
He goes to a school for the deaf.	Va a una escuela para sordos.
Let's finish this work as soon as possible.	Acabemos este trabajo lo antes posible.
He witnessed the accident.	El presencio el accidente.
We were here yesterday.	Ayer estuvimos aqui.
He's not an idiot.	El no es idiota.
Our children like dogs, but I prefer cats.	A nuestros ninos les gustan los perros, pero yo prefiero los gatos.
Most students like sports.	A la mayoria de los estudiantes les gustan los deportes.
Recent advances in medicine are remarkable.	Los recientes avances en medicina son notables.
It's very sweet.	Es muy dulce.
Let's play hide and seek.	Juguemos a las escondidas.
She declined to say more about it.	Ella se rehuso a hablar mas acerca de eso.
I am downloading books.	Estoy bajando libros.
This is good sushi.	Este es un buen sushi.
I'll paint the house.	Yo pintare la casa.
A friend of mine is looking for someone who can speak French.	Un amigo mio esta buscando a alguien que sepa hablar frances.
I've never seen a yellow submarine in my life.	Yo no he visto en mi vida un submarino amarillo.
I'd say yes if I were you.	Si yo fuera tu diria que si.
What is the cause of the fire?	¿Cual es la causa del incendio?
Hang on to it.	Aferrate a eso.
Can you please pour me some more wine?	¿Puede servirme un poco mas de vino?
Tom and Mary have very eventful lives.	Tom y Mary tienen unas vidas azarosas.
It is just five o'clock.	Son justo las cinco en punto.
He doesn't want to talk about it.	El no quiere hablar de eso.
Tell Tom Mary has already told John.	Dile a Tom que Mary ya se lo ha dicho a John.
Tom was really sad.	Tom estaba realmente triste.
Can I see this one?	¿Puedo ver este?
Smoking is forbidden in this area.	En esta zona esta prohibido fumar.
You didn't give me the correct change.	Se ha equivocado con el cambio.
Which is longer, this pen or that one?	¿Cual de estos boligrafos es mas largo, ese o este?
She is able to speak ten languages.	Ella sabe hablar diez lenguas.
She didn't tolerate his selfishness.	Ella no soporto su egoismo.
Women age faster than men.	Las mujeres envejecen mas rapido que los hombres.
Let's read Lesson 3.	Leamos la Leccion 3.
That house is much better than this.	Esa casa es mucho mejor que esta.
I'm worn out.	Estoy reventado.
It's incredible!	¡Es increible!
My uncle lives in Madrid, the capital of Spain.	Mi tio vive en Madrid, la capital de Espana.
Do your children always wear helmets when they ride their bicycles?	¿Se ponen tus hijos el casco siempre que montan en bicicleta?
He must be severely punished.	El debe ser severamente castigado.
It is said that truth always triumphs.	Se dice que la verdad siempre triunfa.
I was about to suggest the same thing.	Estuve a punto de sugerir lo mismo.
I gave Tom all the money I had on me.	Le di a Tom todo el dinero que llevaba conmigo.
He rose from his seat.	Se levanto de su asiento.
I go to work by bus.	Voy al trabajo en autobus.
Consider yourselves lucky.	Considerense afortunados.
I wish I were rich.	Ojala fuera rica.
Tom drove to Mary's home.	Tom condujo hasta la casa de Mary.
What are you punishing them for?	¿Por que les estas castigando?
The lecture started on schedule.	La conferencia comenzo con puntualidad.
I can't believe that.	No me lo puedo creer.
Tom is a close friend of mine.	Tom es un amigo cercano mio.
A stranger approached him.	Se le acerco un desconocido.
He worked for several hours.	El trabajo durante varias horas.
He is good at singing.	El es bueno cantando.
Ask him whether they still live in Tokyo.	Preguntale si todavia viven en Tokio.
Do you really think that Tom will be able to help Mary?	¿De verdad crees que Tom podra ayudar a Mary?
Tom knows what Mary likes.	Tomas sabe lo que le gusta a Maria.
I thought Tom would plant those flowers near the oak tree.	Pense que Tom plantaria esas flores cerca del roble.
Tom left home ten years ago.	Tom abandono la casa hace diez anos.
Tom doesn't drink much.	Tom no bebe mucho.
You should've been here.	Ustedes deberian haber estado aqui.
In the U.S., it is illegal to torture people in order to get information from them.	En los EE.UU., es ilegal torturar a la gente con el fin de obtener informacion de ellos.
Tom shouldn't be so surprised.	Tom no deberia estar tan sorprendido.
You must consider what kind of work you want to do.	Deberiais pensar que clase de trabajo quereis hacer.
I got some sand in my eye.	Tengo arena en el ojo.
I'll be back in half an hour.	Vuelvo en media hora.
I don't want to discuss it.	No quiero discutir sobre eso.
What's worrying you, Tom?	¿Que te preocupa, Tom?
It's the best job in the world!	¡Es el mejor trabajo del mundo!
Move on, Tom.	Continua, Tom.
Here is a present for you in token of our appreciation.	Este es un presente como muestra de nuestro agradecimiento.
We have been to Tokyo many times.	Visitamos Tokio varias veces.
What was he up to?	¿Que pretendia?
Didn't you tell me yesterday that you wouldn't be late today?	¿Acaso no me dijiste ayer que hoy no llegarias tarde?
So difficult was the question that no one could answer.	La pregunta fue tan dificil que nadie pudo responderla.
This book is hers.	Este libro es suyo.
We didn't have many visitors this summer.	No tuvimos muchas visitas este verano.
My friend is a talkative person.	Mi amigo es una persona conversadora.
Tom doesn't seem to be very tired.	Tom no parece estar muy cansado.
It all depends on the weather.	Todo depende del tiempo que haga.
He delivered a very long speech yesterday.	El profirio un largo discurso ayer.
Did you actually see the accident?	¿Realmente vio usted el accidente?
It's time to begin.	Es tiempo de comenzar.
I don't ski, but I really like to skate.	Yo no esquio pero me gusta mucho patinar.
Be on time.	Llegue a tiempo.
He wouldn't give in.	No se iba a rendir.
I'm first.	Soy el primero.
Why don't you come to my house and play the piano?	¿Por que no vienes a mi casa y tocas el piano?
Can I use my credit card?	¿Puedo usar mi tarjeta de credito?
He was sitting on a bench with his eyes closed.	Estaba sentado en una banca con los ojos cerrados.
I'm still shopping around.	Estoy todavia comparando precios.
Which is the more expensive of the two?	¿Cual es el mas caro de los dos?
This is quite tasty.	Esto es bastante sabroso.
Tom couldn't think of anything better to do.	A Tom no se le ocurria nada mejor que hacer.
What a lovely day!	¡Que agradable dia!
Certain poisons, properly used, are useful.	Ciertos venenos, usados adecuadamente, son utiles.
Don't trust him. He's very two-faced.	No se fie de el, es muy falso.
You're the only person I know that doesn't like bananas.	Eres la unica persona que conozco a la que no le gustan los platanos.
I'll be no party to this arrangement.	No formare parte de este acuerdo.
The family is watching a movie together.	Juntos, la familia mira una pelicula.
She is widely known.	Ella es conocida a lo ancho.
Tom doesn't like not being able to control Mary.	A Tom no le gusta el no ser capaz de controlar a Mary.
She acknowledged having made a mistake.	Ella reconocio haber cometido un error.
Do you actually like this?	¿De verdad te gusta esto?
We ran in the park.	Corrimos en el parque.
You are very good at sewing.	Se te da muy bien coser.
He speaks English very well.	El habla muy bien ingles.
North is the opposite direction from south.	Norte es la direccion opuesta al sur.
Who will you be going to Boston with?	¿Con quien vas a ir a Boston?
I intend to stay there for a week.	Pretendo quedarme ahi por una semana.
The mountains are beautiful.	Las montanas son preciosas.
I'm not going to go there.	No voy a ir alli.
Please stop the war.	Pare la guerra, por favor.
Have you heard Tom speaking French?	¿Lo escuchaste a Tom hablando en frances?
Let me pay.	Deja que pague yo.
I am used to living alone.	Me he acostumbrado a vivir solo.
He can neither read nor write.	No puede ni leer mucho menos escribir.
You survived.	Sobreviviste.
Do you like fish?	¿Te gusta el pescado?
She is very kind to us.	Ella es muy amable con nosotras.
If you drive carefully you'll avoid accidents.	Si conduces con cuidado, evitaras accidentes.
Tom is a liar.	Tom es un mentiroso.
Come here, and I'll show you.	Ven aqui y te lo ensenare.
This screw is loose.	Este tornillo esta suelto.
Copy this, please.	Copia esto, por favor.
Tom doesn't know how to milk a goat.	Tom no sabe como ordenar a una cabra.
I didn't know that Tom was Canadian.	No conocia que Tom era canadiense.
We'll drive.	Nosotros conduciremos.
It's a bit strange to me.	Es un poco extrano para mi.
I confess that I don't understand.	Confieso que no lo entiendo.
He lives in Yokohama.	Vive en Yokohama.
Thanks for your time.	Gracias por tu tiempo.
Although Tom is sick, he's swimming again today.	Aunque Tom esta enfermo, hoy esta nadando nuevamente.
I don't know who wrote this letter.	No se quien ha escrito esta carta.
I thought I might be able to help.	Pense que podria ser capaz de ayudar.
It seemed like a good idea.	Parecia una buena idea.
I'm so alone.	Estoy tan solo.
I know that you are a teacher.	Se que tu eres profesor.
Tom eats mostly fruits and vegetables, and only eats meat about once a week.	Tom come sobre todo fruta y verdura, y solo come carne alrededor de una vez a la semana.
I really don't want to disappoint Tom.	Realmente no quiero decepcionar a Tom.
Somebody must've made some kind of mistake.	Alguien ha cometido algun error.
The policeman separated the two men who were fighting.	El policia separo a los dos hombres que estaban peleando.
They are both good teachers.	Ambos son buenos profesores.
Get rid of the gun.	Deshagase del arma.
He failed to do what he said he would do.	Fracaso al intentar hacer lo que dijo que haria.
They paid customs duties.	Pagaron derechos de aduana.
Tom appreciated all the letters Mary sent him while he was in prison.	Tom aprecio todas las cartas que le mando Mary mientras el estaba en prision.
I think it's time for me to come clean.	Creo que es hora de sincerarme.
I'm busy looking for an apartment.	Estoy ocupado buscando piso.
I'll do it, but there's one condition.	Lo hare, pero con una condicion.
Tom was shocked and bewildered.	Tom estaba sorprendido y desconcertado.
He tied the dog to a tree.	El ato al perro a un arbol.
I don't know what the correct answer is.	No se cual es la respuesta correcta.
The company laid off five people.	La compania despidio a cinco personas.
Do you want to meet Tom?	¿Quieres encontrarte con Tom?
Tom put his shirt on.	Tom se puso su camisa.
Not every bird can sing.	No todos los pajaros pueden cantar.
You ought to get to work on time.	Debes llegar al trabajo a tiempo.
Tom writes slowly.	Tom escribe despacio.
Boston is a great city.	Boston es una ciudad estupenda.
I like not only classical music but also jazz.	Me gusta no solo la musica clasica sino tambien el jazz.
She is often late for school on Mondays.	Ella a menudo llega tarde al colegio los lunes.
Be serious.	Se serio.
The violinist has excellent technique.	La violinista tiene una tecnica excelente.
How big is your garden?	¿De que tamano es tu jardin?
Please say yes.	Por favor, diga que si.
I run a motel.	Yo administro un motel.
Tom may talk to Mary if he wants to.	Tom le puede hablar a Mary si quiere.
Tom took a cold shower.	Tom se dio una ducha fria.
Please don't leave me alone.	No me dejes sola, por favor.
Tom picked an apple from the tree.	Tom cogio una manzana del arbol.
I don't blame you.	No os culpo.
In the near future, space travel will no longer be just a dream.	En un futuro cercano, el viaje espacial dejara de ser un simple sueno.
This book is out of print.	Este libro esta descatalogado.
Whatever you may say, I will not change my opinion.	Digas lo que digas, no cambiare de opinion.
I'd prefer not to eat that.	Preferiria no comer eso.
Who was that sitting in front of you at the movies?	¿Quien estaba sentado delante de usted en el cine?
Would you like to eat lunch together?	¿Quieren almorzar con nosotras?
Is there anything I should know?	¿Hay algo que deberia saber?
A good memory is his weapon.	Su buena memoria es su arma.
I see Tom every day.	Veo a Tom todos los dias.
He is reading.	Esta leyendo.
I don't need your advice.	Yo no necesito tus consejos.
Everywhere you look you can see children playing.	Donde sea que mires podras ver a ninos jugando.
What have I done?	¡Que he hecho!
We need to remember to pick Tom up at the station at 2:30.	Tenemos que acordarnos de recoger a Tom en la estacion a las 2:30.
Please keep this secret.	Guarda el secreto, por favor.
Call a policeman.	Llama a un policia.
Don't hurt him.	No lo lastimes.
I left my cell phone at home.	Yo deje mi celular en casa.
Tom started mumbling.	Tom comenzo a murmurar.
You aren't afraid of ghosts, are you?	No te asustan los fantasmas ¿o si?
We work from nine to five.	Trabajamos desde las nueve a las cinco.
Tom said he didn't even want to think about that.	Tom dijo que no quiere siquiera pensar en eso.
