Cargo_Total;SalidaHornoCucharaTemp;TiempoOnTotal;TiempoOffTotal;OxigenoMecheros;GasMecheros;GrafitoTotal;OxigenCojetTotal;PotenciaActiva
138.592;1583.0;2301;33;86;32;158;2413;49020
145.169;1575.0;2402;33;88;32;224;2599;50580
138.652;1580.0;2258;39;82;30;137;2419;49005
138.163;1580.0;2379;63;81;30;215;2371;48015
137.649;1583.0;2399;47;84;31;115;2431;48045
138.608;1582.0;2340;33;82;31;165;2421;48540
133.404;1590.0;2351;33;80;30;196;2455;49515
137.858;1595.0;2346;154;82;31;121;2472;48045
138.115;1594.0;2340;33;82;31;161;2441;48030
138.155;1590.0;2427;33;87;32;146;2476;48030
130.375;1592.0;2337;38;59;21;133;2371;47040
141.357;1625.0;3648;656;11;0;148;1105;68550
138.901;1582.0;2419;68;7;0;194;2220;48045
138.86;1587.0;2357;68;6;0;143;2175;48090
138.821;1587.0;2275;65;6;0;153;2203;49050
130.569;1591.0;2101;335;6;0;121;1934;45090
138.879;1597.0;2514;1407;11;0;357;2575;55065
138.826;1600.0;2506;102;7;0;381;2498;53040
138.826;1600.0;2506;102;7;0;381;2498;53040
138.366;1600.0;2472;83;7;0;226;2535;53025
118.356;1625.0;1299;162;5;0;409;1778;49000
137.89;1589.0;2427;184;7;0;230;2279;50520
137.917;1590.0;2497;68;7;0;229;2253;50610
138.858;1584.0;2354;68;7;0;175;2122;49035
138.916;1593.0;2391;153;7;0;184;2056;49035
138.34;1603.0;2185;203;7;0;138;1989;50040
110.918;1587.0;1679;258;6;0;329;2086;37545
138.53;1600.0;2334;85;7;0;186;2103;50040
138.289;1605.0;2596;82;7;0;451;2483;57060
138.982;1601.0;2424;71;7;0;276;2284;51015
138.104;1589.0;2340;68;7;0;226;2183;50055
150.141;1623.0;3552;77;9;0;249;1265;71565
138.647;1613.0;2531;114;8;0;252;2456;52650
138.521;1597.0;2545;97;8;0;318;2458;52080
138.135;1608.0;2815;1770;13;0;298;2306;53040
138.902;1590.0;2329;161;7;0;143;2158;49035
138.267;1595.0;2385;198;8;0;123;2153;49065
138.156;1594.0;2382;257;97;36;163;2128;49020
137.907;1596.0;2371;71;98;37;150;2081;49035
138.052;1596.0;2292;74;95;35;157;2024;48975
150.35;1591.0;2545;1092;100;36;261;2461;53355
138.096;1593.0;2374;499;9;0;135;2163;49050
139.083;1598.0;2405;727;12;0;228;2383;49575
138.446;1584.0;2351;552;9;0;235;2698;50550
138.33;1580.0;2239;648;12;0;112;2084;48105
137.969;1580.0;2303;74;7;0;103;2230;49050
137.969;1580.0;2303;74;7;0;103;2230;49050
138.098;1583.0;2301;212;7;0;169;2224;49065
138.796;1580.0;2292;184;7;0;162;2206;49095
138.621;1585.0;2379;1709;11;0;258;2497;50100
138.567;1588.0;2326;164;7;0;167;2433;49245
138.616;1574.0;2253;77;7;0;173;2397;49020
138.486;1576.0;2346;221;7;0;170;2519;49050
137.688;1616.0;2334;319;8;0;170;2610;49050
138.912;1599.0;2320;113;7;0;194;2568;50535
137.915;1599.0;2343;462;8;0;142;2520;49035
138.318;1586.0;2315;533;10;0;226;2944;51045
138.844;1603.0;2182;296;7;0;185;2572;46545
138.093;1583.0;2354;263;10;0;270;2911;50070
138.213;1580.0;2306;170;15;0;190;2879;49005
138.603;1575.0;2343;74;8;0;128;2616;49095
137.619;1578.0;2331;65;7;0;127;2554;49050
137.728;1574.0;2371;93;7;0;208;2606;49455
139.232;1575.0;2343;65;7;0;164;2562;49035
138.568;1580.0;2284;68;7;0;107;2517;48540
121.182;1587.0;2070;414;7;0;111;2113;44580
148.684;1584.0;2351;192;8;0;200;2692;51045
138.352;1587.0;2323;229;7;0;109;2530;49020
138.563;1577.0;2247;65;7;0;109;2488;48495
138.136;1587.0;2233;65;7;0;82;2434;48015
90.889;1579.0;1645;103;5;0;193;2136;33930
150.091;1586.0;2587;102;8;0;189;3017;52095
138.698;1589.0;2289;538;9;0;164;2118;48045
138.39;1597.0;2219;68;7;0;103;2061;47535
138.049;1590.0;2354;1055;10;0;203;2020;47040
143.044;1600.0;2346;642;9;0;109;2202;48825
141.654;1592.0;2278;71;7;0;188;2164;48555
100.252;1586.0;1752;204;6;0;281;1783;36060
150.264;1622.0;3693;423;11;0;212;1041;70050
137.407;1588.0;2374;71;94;36;135;2157;49020
138.247;1622.0;2337;153;13;0;187;2836;48990
138.481;1585.0;2270;1897;14;0;348;2789;49065
138.99;1585.0;2275;293;16;0;161;2532;48990
138.525;1580.0;2258;353;8;0;136;2508;49035
138.525;1580.0;2258;353;8;0;136;2508;49035
151.112;1574.0;2500;138;8;0;297;2934;53520
138.498;1594.0;2331;122;0;0;164;2144;49035
138.347;1590.0;2264;299;8;0;169;2098;49035
138.656;1598.0;2323;65;7;0;213;2129;49065
138.385;1590.0;2379;62;7;0;183;2112;49035
138.396;1589.0;2298;74;7;0;153;2129;48540
138.252;1592.0;2261;65;7;0;168;2021;47535
138.377;1600.0;2168;71;7;0;160;1951;47025
138.04;1597.0;112;185;26;0;417;2223;51375
144.449;1612.0;3775;856;12;0;321;1332;72090
138.649;1597.0;2407;1590;13;0;151;2100;50040
138.307;1595.0;2427;172;42;24;214;2272;50100
138.247;1620.0;2475;62;78;49;155;2430;52545
138.48;1589.0;2225;65;19;1;103;1995;47130
113.122;1602.0;2031;89;7;0;289;2203;43065
137.57;1607.0;2379;161;12;0;159;2209;49545
137.349;1587.0;2351;105;7;0;168;2141;48480
90.971;1586.0;1786;1931;11;0;332;1722;34605
155.825;1612.0;3651;156;10;0;349;1226;72720
138.541;1593.0;2759;71;9;0;354;2560;54765
138.594;1602.0;2689;71;8;0;359;2587;55185
138.594;1602.0;2689;71;8;0;359;2587;55185
137.553;1609.0;2753;83;8;0;385;2646;56595
137.436;1597.0;2602;341;13;0;278;2414;53040
138.193;1590.0;2481;65;9;0;241;2273;49005
138.468;1578.0;2441;192;63;22;156;2235;50550
137.666;1579.0;2410;68;100;37;142;2114;49035
138.553;1593.0;2388;74;99;37;139;2091;49065
150.517;1622.0;2450;333;104;37;114;2191;50010
138.613;1592.0;2573;201;7;0;183;2409;51075
138.235;1585.0;2489;395;8;0;116;2372;49050
138.008;1587.0;2438;71;7;0;215;2341;49065
138.098;1582.0;2407;62;7;0;131;2228;49065
138.193;1588.0;2407;71;8;0;100;2258;49020
138.604;1586.0;2481;491;8;0;168;2386;50580
138.637;1581.0;2512;448;9;0;159;2306;49065
138.202;1584.0;2481;71;7;0;116;2360;49050
137.989;1583.0;2407;110;7;0;117;2232;49050
138.144;1595.0;2391;68;7;0;124;2249;49020
138.835;1595.0;2337;125;7;0;131;2302;49020
139.215;1590.0;2362;85;7;0;179;2229;48525
138.899;1589.0;2388;68;36;11;112;2242;48540
138.089;1587.0;2438;65;101;38;144;2292;48540
137.776;1583.0;2419;74;100;38;138;2260;48540
138.189;1584.0;2332;68;96;36;163;2200;48570
138.175;1579.0;2357;77;97;37;177;2215;48540
138.458;1586.0;2239;71;54;19;127;2349;48030
138.636;1585.0;2368;74;91;34;145;2440;48015
137.777;1585.0;2334;71;90;34;97;2394;48030
137.037;1585.0;2368;280;87;32;185;2574;48060
138.093;1581.0;2402;62;88;33;124;2594;48060
138.764;1580.0;2337;76;86;32;198;2517;48030
138.539;1585.0;2396;68;8;0;132;2370;48075
138.936;1580.0;2315;71;7;0;198;2292;48075
138.838;1581.0;2326;62;8;0;126;2333;48045
132.443;1587.0;2332;68;7;0;171;2308;48045
133.424;1588.0;2337;65;8;0;152;2297;48030
133.366;1581.0;2309;65;7;0;154;2269;48045
137.9;1577.0;2351;71;7;0;105;2333;48045
138.292;1575.0;2402;144;8;0;113;2325;48075
138.671;1572.0;2317;313;8;0;157;2275;48060
138.778;1584.0;2385;71;8;0;103;2341;48060
128.38;1581.0;2354;60;7;0;127;2197;48030
127.427;1580.0;2270;62;76;35;115;2089;47055
128.869;1572.0;2253;65;76;35;100;2037;46530
135.588;1602.0;2247;65;10;0;122;2079;47040
134.964;1623.0;2236;68;8;0;105;1985;47040
134.964;1623.0;2236;68;8;0;105;1985;47040
111.476;1595.0;2306;8781;11;0;373;2596;47115
135.588;1587.0;2191;94;7;0;127;1939;46650
138.473;1597.0;2289;68;8;0;191;2046;47535
134.83;1581.0;2360;65;7;0;88;2045;46995
135.171;1584.0;2244;68;8;0;70;1995;47040
135.63;1587.0;2281;65;8;0;93;2044;47010
136.09;1582.0;2354;68;7;0;104;2072;47070
130.195;1593.0;2495;1055;10;0;158;2453;49815
90.221;1582.0;1721;153;5;0;0;2246;34350
155.235;1613.0;3946;35;13;0;137;1250;69075
138.645;1597.0;2641;82;8;0;294;2558;53130
137.827;1595.0;2756;2676;15;0;357;2638;55575
138.754;1593.0;2458;79;7;0;312;2434;52710
137.749;1592.0;2312;65;0;0;160;2137;49005
139.73;1586.0;2286;71;7;0;181;2143;49050
137.895;1584.0;2362;175;7;0;107;2181;49020
137.895;1584.0;2362;175;7;0;107;2181;49020
137.308;1585.0;2433;839;9;0;188;2213;49080
138.233;1584.0;2385;68;7;0;166;2217;49080
138.778;1582.0;2385;563;9;0;130;2190;49155
138.756;1623.0;3755;184;15;0;738;1494;65550
138.791;1593.0;2551;138;7;0;219;2417;52860
135.501;1601.0;2469;62;7;0;211;2362;50625
135.833;1602.0;2534;113;7;0;325;2538;52410
133.891;1592.0;2393;65;7;0;194;2198;48495
133.096;1583.0;2301;68;7;0;196;2144;48495
133.096;1583.0;2301;68;7;0;196;2144;48495
133.39;1599.0;2430;242;8;0;156;2186;48555
133.055;1596.0;2362;74;7;0;198;2184;48570
137.182;1590.0;2422;71;8;0;169;2202;48570
120.365;1587.0;2281;119;7;0;129;1838;44130
80.452;1580.0;1651;1588;9;0;377;2005;32280
155.426;1625.0;3679;1078;21;0;231;1696;71565
138.068;1599.0;2559;198;8;0;352;2505;53310
138.209;1605.0;2526;74;8;0;288;2393;52545
138.898;1600.0;2542;161;9;0;247;2416;51585
138.242;1591.0;2424;77;8;0;186;2164;49065
149.998;1588.0;2573;68;8;0;163;2539;53055
138.776;1599.0;2413;71;78;36;120;2185;49095
138.376;1586.0;2407;68;80;37;150;2201;49035
107.142;1600.0;1181;74;24;8;283;2400;53070
138.395;1582.0;2419;71;82;38;153;2106;49095
138.655;1585.0;2354;71;79;37;129;2058;48990
133.341;1582.0;2346;68;78;36;151;2064;48975
138.445;1590.0;2317;623;10;0;135;2197;49155
138.491;1593.0;2331;761;10;0;131;2028;49110
138.202;1589.0;2317;68;39;12;97;2153;49080
129.511;1602.0;2452;94;98;37;145;2284;51060
135.668;1604.0;2371;2291;101;36;221;2149;50085
138.211;1605.0;2346;279;97;36;192;2168;49560
138.322;1595.0;2377;65;97;37;132;2195;49470
138.912;1591.0;2281;283;93;35;189;2205;49605
138.532;1590.0;2284;116;92;34;160;2217;49560
138.643;1582.0;2433;110;7;0;167;2148;49500
138.273;1577.0;2334;74;7;0;101;2035;49560
139.247;1575.0;2267;68;6;0;129;2028;49620
138.544;1579.0;2343;71;6;0;100;2116;50115
138.733;1577.0;2348;319;11;0;106;2449;50130
128.643;1569.0;2165;178;6;0;50;1901;47070
128.869;1571.0;2132;74;6;0;131;1851;46560
138.046;1572.0;2306;198;7;0;173;2323;49050
138.64;1574.0;2303;136;7;0;99;2215;49035
138.844;1575.0;2261;130;7;0;110;2098;49065
128.879;1577.0;2337;198;7;0;127;2387;49050
138.071;1577.0;2346;68;7;0;158;2147;49050
138.537;1583.0;2312;74;7;0;135;2418;49035
138.351;1580.0;2295;68;8;0;179;2331;49050
136.986;1588.0;2326;479;9;0;139;2398;49050
136.857;1585.0;2303;870;9;0;178;2369;49005
136.977;1580.0;2365;935;9;0;170;2454;48900
130.091;1581.0;2317;246;8;0;116;2419;49020
137.184;1582.0;2329;224;7;0;153;2421;49050
138.681;1583.0;2348;232;9;0;175;2358;48570
137.451;1599.0;2357;336;7;0;157;2356;48555
137.057;1596.0;2571;2446;13;0;321;2324;52905
132.743;1588.0;2332;119;6;0;173;2315;48795
150.014;1599.0;2621;294;8;0;251;3269;54375
138.042;1588.0;2410;88;6;0;198;2665;49665
138.213;1585.0;2320;682;8;0;185;2686;48570
132.535;1585.0;2371;203;7;0;196;2504;48555
133.192;1584.0;2292;125;6;0;142;2526;48540
138.56;1588.0;2312;246;7;0;172;2839;48525
138.545;1587.0;2360;82;7;0;127;2596;48525
70.813;1581.0;1440;196;4;0;224;1552;31980
155.45;1621.0;3569;243;9;0;464;1640;71820
137.676;1598.0;2281;111;91;34;230;2200;49560
138.81;1588.0;2360;299;7;0;379;2092;49545
137.942;1595.0;2602;465;8;0;314;2375;52620
138.054;1591.0;2481;71;8;0;176;2270;49095
137.837;1585.0;2486;80;7;0;221;2188;49035
138.299;1591.0;2455;94;7;0;149;2111;48810
128.493;1595.0;2621;137;54;23;363;2518;54060
138.106;1604.0;2399;558;66;29;149;2145;49035
76.649;1580.0;1355;590;6;0;276;1674;30735
140.079;1623.0;3687;423;9;0;467;1413;73005
138.783;1595.0;2551;94;0;0;288;2151;52590
137.743;1596.0;2419;237;7;0;225;2350;50220
138.345;1593.0;2607;220;8;0;368;2489;52065
133.424;1597.0;2537;162;8;0;229;2388;50025
137.606;1585.0;2469;226;9;0;238;2323;50115
128.369;1596.0;2458;88;6;0;258;2374;50040
128.369;1596.0;2458;88;6;0;258;2374;50040
126.877;1599.0;2497;412;7;0;176;2616;50040
135.136;1599.0;2557;426;8;0;270;3282;52560
112.373;1583.0;1898;801;7;0;603;2985;37980
155.634;1620.0;3586;350;78;35;752;1610;71055
138.836;1597.0;2520;117;7;0;276;2342;52560
138.163;1593.0;2582;617;8;0;395;2384;52845
138.498;1594.0;2599;145;7;0;376;2430;52560
139.237;1585.0;2472;474;7;0;228;2216;50550
139.237;1585.0;2472;474;7;0;228;2216;50550
137.837;1592.0;2393;772;9;0;172;2144;49065
130.783;1606.0;2365;80;52;22;332;2337;49080
130.334;1612.0;2391;2300;75;32;222;2116;50085
138.874;1610.0;2548;1135;82;37;95;2330;51570
70.089;1580.0;1476;83;26;11;220;1348;33060
138.636;1595.0;2565;198;7;0;364;2413;52530
137.869;1594.0;2512;91;7;0;365;2330;51570
155.085;1619.0;3572;210;10;0;180;1162;71475
138.705;1607.0;2748;878;10;0;413;2773;59025
138.843;1600.0;2526;111;9;0;336;2367;52560
138.526;1603.0;2596;119;9;0;330;2527;53115
138.818;1595.0;2332;68;8;0;109;2486;49020
138.563;1591.0;2433;68;7;0;219;2634;50535
138.812;1589.0;2447;71;7;0;183;2659;50550
138.603;1588.0;2337;307;8;0;193;2648;49020
138.741;1592.0;163;74;7;0;210;2547;49065
150.506;1614.0;1983;632;28;0;735;2161;88050
113.934;1595.0;1926;1273;9;0;284;2031;41040
138.541;1587.0;2422;71;7;0;200;2340;51570
138.867;1592.0;2430;150;7;0;224;2309;51030
138.584;1589.0;2371;198;7;0;118;2409;49125
138.387;1579.0;2427;142;7;0;177;2439;50550
138.436;1580.0;2427;68;7;0;125;2282;49035
138.637;1582.0;2334;71;8;0;93;2235;49050
138.637;1582.0;2334;71;8;0;93;2235;49050
132.786;1586.0;2337;727;97;36;127;2208;49065
136.466;1581.0;2334;96;96;36;125;2240;49035
115.535;1569.0;2056;134;66;24;353;2110;45060
145.854;1614.0;3451;679;11;0;173;1120;67530
138.722;1598.0;2348;71;0;0;77;2140;49035
138.735;1587.0;2461;71;7;0;190;2342;51540
138.429;1595.0;2433;71;7;0;187;2322;50550
138.427;1580.0;2402;88;7;0;133;2184;49065
138.512;1584.0;2360;68;8;0;247;2238;50550
138.875;1581.0;2382;94;8;0;177;2236;49035
138.267;1580.0;2413;68;8;0;160;2209;49050
138.443;1568.0;2391;97;7;0;146;2238;49080
138.301;1584.0;2396;1078;10;0;132;2107;49080
135.622;1575.0;2056;1058;10;0;98;2255;49065
145.909;1617.0;3398;146;9;0;122;1074;65580
138.595;1594.0;2481;131;8;0;164;2357;51030
128.346;1596.0;2528;550;9;0;113;2428;52530
138.783;1602.0;2410;65;7;0;112;2327;50565
138.567;1586.0;2396;65;7;0;77;2313;49050
138.833;1591.0;2391;68;7;0;124;2229;48855
138.849;1582.0;2340;68;7;0;150;2258;49020
138.497;1580.0;2509;1601;11;0;205;2485;51585
138.129;1614.0;2317;68;7;0;176;2166;48840
138.365;1575.0;2377;68;9;0;224;2179;49035
132.508;1574.0;2346;80;7;0;127;2160;48300
132.938;1575.0;2357;71;7;0;175;2175;49020
135.4;1577.0;2399;71;9;0;124;2094;49050
134.932;1579.0;2357;71;0;35;153;2129;49050
135.021;1572.0;2346;144;99;36;160;2124;49050
137.033;1571.0;2303;105;95;35;149;2099;49050
135.427;1568.0;2332;392;96;35;182;2121;49050
135.649;1576.0;2331;77;97;36;219;2124;49095
135.852;1575.0;2315;88;95;36;140;2128;49080
134.98;1572.0;2362;68;96;36;210;2198;49230
130.823;1570.0;2301;74;94;35;178;2104;49005
135.988;1563.0;2323;648;97;36;168;2108;49095
138.539;1563.0;2334;130;95;36;183;2143;49095
138.01;1561.0;2436;83;99;37;246;2274;50550
138.818;1567.0;2289;71;94;35;178;2113;49110
137.999;1568.0;2317;74;96;36;210;2123;49080
138.72;1560.0;2405;122;97;37;168;2206;49050
132.718;1566.0;2298;74;96;36;141;2072;48045
130.878;1561.0;2098;71;17;4;81;1832;45990
130.297;1577.0;2028;147;10;0;84;1712;44505
130.428;1565.0;2104;448;8;0;101;1749;45570
130.062;1562.0;2188;65;100;32;108;1865;46065
135.86;1564.0;2247;71;7;0;123;2002;47565
135.74;1563.0;2222;133;7;0;181;2035;47565
135.799;1570.0;2258;192;7;0;128;2232;47040
135.109;1570.0;2320;65;7;0;98;2078;47040
140.051;1569.0;2331;68;7;0;191;2167;49065
134.723;1579.0;2239;68;7;0;96;2051;47040
137.215;1578.0;2253;544;8;0;162;2056;48075
138.496;1573.0;2222;446;8;0;106;2239;48045
138.766;1579.0;2278;294;7;0;103;2080;47550
138.838;1571.0;2180;313;8;0;135;2022;47580
138.055;1560.0;2216;94;11;0;163;2043;47010
131.002;1573.0;2115;291;10;0;186;2201;47100
135.808;1575.0;2182;80;7;0;158;2271;48120
135.579;1583.0;2101;71;7;0;175;2121;46605
135.14;1570.0;2256;184;8;0;161;2284;47610
138.375;1572.0;2219;85;6;0;167;2276;47595
130.823;1588.0;2115;1734;34;12;40;2050;44010
90.446;1580.0;1685;185;5;0;377;2103;34575
138.616;1567.0;2225;299;14;0;164;2040;47580
139.51;1571.0;2247;139;23;0;200;2239;47550
138.888;1574.0;2267;85;7;0;199;2360;49140
130.953;1572.0;2135;94;7;0;147;2195;47250
135.089;1568.0;2112;68;7;0;77;2150;47055
145.223;1565.0;2419;74;68;31;131;2369;49050
135.757;1567.0;2166;77;71;33;65;2229;47145
130.669;1578.0;2126;198;71;33;82;2380;45570
130.222;1575.0;2222;71;7;0;239;2180;47085
138.064;1598.0;2497;175;8;0;258;2592;54045
137.766;1595.0;2427;170;9;0;268;2516;52590
144.758;1635.0;2624;167;25;0;442;2800;57075
120.3;1589.0;2120;320;7;0;366;2502;42015
137.693;1596.0;2388;518;9;0;138;2425;48630
150.475;1595.0;2528;167;8;0;184;2582;52620
138.706;1599.0;2357;133;10;0;145;2252;49080
138.198;1599.0;2303;68;8;0;74;2121;47580
150.589;1600.0;2585;738;15;0;330;2571;53010
139.499;1596.0;2402;1799;13;0;191;2239;50580
135.756;1597.0;2303;91;8;0;152;2135;49500
156.143;1600.0;3882;4122;18;0;544;1259;76350
156.143;1600.0;3882;4122;18;0;544;1259;76350
142.764;1612.0;2610;80;9;0;431;2688;57540
125.417;1591.0;2126;296;8;0;118;2231;46500
138.413;1589.0;2503;625;11;0;308;2812;50025
138.252;1614.0;3296;204;10;0;197;932;63135
135.409;1599.0;2483;415;9;0;324;2374;53025
138.044;1596.0;2323;71;7;0;162;2387;49035
137.792;1597.0;2565;274;68;24;239;2429;52575
138.389;1597.0;2376;71;98;37;136;2172;50055
137.384;1593.0;2391;170;98;37;174;2170;49755
151.157;1613.0;3294;125;11;0;82;928;61440
138.382;1594.0;2303;68;9;0;145;2129;49050
139.793;1588.0;2351;94;7;0;153;2150;49140
130.234;1585.0;2402;111;99;37;114;2166;49065
138.413;1585.0;2326;74;95;36;142;2133;49560
138.053;1589.0;2377;77;96;36;123;2148;49065
138.771;1585.0;2382;100;100;38;170;2142;49110
138.436;1580.0;2393;86;98;37;128;2211;49095
133.074;1580.0;2272;83;27;7;138;1923;47055
135.271;1589.0;2343;127;8;0;146;2160;48015
138.38;1580.0;2331;80;71;33;143;2173;49080
138.147;1578.0;2351;71;77;36;65;2231;49065
128.828;1571.0;2126;65;73;34;94;1908;46050
138.255;1572.0;2292;68;76;35;120;2209;49050
138.318;1589.0;2447;358;65;28;197;2298;50550
138.281;1573.0;2351;74;7;0;58;2232;48555
148.774;1568.0;2469;71;8;0;53;2399;51060
138.604;1573.0;2222;71;0;0;97;2102;48060
138.849;1576.0;2219;74;60;27;54;2079;48075
138.849;1576.0;2219;74;60;27;54;2079;48075
138.884;1579.0;2205;65;63;29;107;2092;48075
138.197;1582.0;2289;99;0;0;133;0;48060
138.579;1575.0;2289;74;67;31;139;2121;48045
137.002;1570.0;2275;71;67;31;116;2089;48045
138.076;1568.0;2312;929;70;31;58;2072;47595
138.791;1568.0;2250;74;66;30;55;2068;47550
135.717;1572.0;2199;74;55;25;72;1969;46575
135.769;1580.0;2312;167;58;26;85;2056;47520
136.024;1591.0;2244;409;57;25;41;1954;46560
135.148;1599.0;2196;62;15;4;172;2029;48075
138.76;1585.0;2351;271;7;0;125;2412;47640
138.76;1585.0;2351;271;7;0;125;2412;47640
138.576;1588.0;2256;71;6;0;109;2267;47535
138.537;1585.0;2166;85;6;0;87;2190;47595
138.424;1574.0;2126;74;6;0;133;2174;47070
130.295;1579.0;2067;71;7;0;63;1951;44310
135.901;1582.0;2168;215;8;0;165;2133;46200
130.14;1571.0;2258;150;7;0;109;2194;46740
135.42;1571.0;2194;74;8;0;147;2164;46590
138.69;1568.0;2182;68;7;0;30;2252;47565
138.628;1617.0;2188;71;49;21;45;2232;47580
138.199;1596.0;2253;299;72;32;105;2254;47550
135.697;1582.0;2174;68;73;32;54;2183;46560
135.636;1595.0;2270;257;72;32;159;2340;48555
135.845;1577.0;2270;317;73;33;67;2556;46560
135.313;1578.0;2230;66;71;33;74;2218;46590
135.607;1567.0;2230;65;72;33;131;2203;46545
135.631;1572.0;2391;744;74;33;173;2545;50640
135.674;1575.0;2213;68;71;33;84;2091;46560
135.124;1579.0;2222;142;73;33;95;2046;46545
134.607;1578.0;2239;1199;77;33;107;2142;46560
135.664;1579.0;2317;215;75;35;62;2176;47040
130.917;1582.0;2160;96;54;19;82;2205;45495
134.675;1586.0;2281;99;79;29;146;2351;46590
135.79;1596.0;2247;215;76;28;84;2540;47130
135.643;1582.0;2230;201;77;28;155;2566;47190
130.526;1588.0;2230;153;78;28;126;2478;46170
125.459;1595.0;2112;117;75;27;128;2336;44100
80.189;1582.0;1414;471;6;0;120;1530;31860
157.0;1620.0;3825;553;11;0;336;1267;70500
138.369;1592.0;2641;654;10;0;290;2541;53925
138.909;1590.0;2455;1275;11;0;184;2345;52065
138.376;1595.0;2509;184;0;0;186;2373;51045
137.969;1590.0;2362;434;8;0;145;2489;49035
128.06;1595.0;2264;133;7;0;225;2363;45510
139.223;1594.0;2461;71;7;0;142;2846;48990
138.282;1586.0;2385;249;8;0;102;2775;48555
138.409;1586.0;2453;127;8;0;97;2516;47040
138.692;1581.0;2393;158;8;0;80;2505;47025
138.164;1623.0;3218;451;114;53;454;1491;57255
138.734;1600.0;2638;459;84;39;281;2500;52605
137.955;1590.0;2351;988;79;36;156;2361;49050
138.944;1588.0;2346;71;7;0;158;2439;49050
137.8;1585.0;2326;237;7;0;165;2461;49035
138.427;1590.0;2360;127;7;0;118;2505;48060
138.875;1604.0;2424;203;7;0;173;2175;48270
130.027;1579.0;2287;79;7;0;120;2015;46560
138.717;1577.0;2331;68;75;34;129;2044;47985
130.487;1577.0;2368;68;79;37;96;2155;49065
130.464;1583.0;2320;68;75;35;98;2176;49560
138.537;1571.0;2348;71;77;36;187;2160;49170
138.946;1572.0;2391;71;78;36;196;2224;49545
138.81;1570.0;2447;71;82;38;163;2263;49545
138.675;1587.0;2458;311;80;37;141;2237;50550
138.731;1576.0;2472;71;9;0;152;2187;49050
138.462;1572.0;2427;71;8;0;197;2097;49065
138.165;1570.0;2402;215;8;0;188;2062;49005
138.419;1588.0;2379;65;9;0;236;2064;49050
130.778;1578.0;2391;136;66;23;179;2074;49020
137.187;1590.0;2407;65;99;37;181;2100;49035
