como qualquer adolescente , so quer que gostem dela e ser aceite .	and like any teenager , she just wants to be liked and to fit in .
sabiam que nos americanos ocupamos cerca de tres vezes mais espaco do que ocupavamos ha 50 anos ?	did you know that we americans have about three times the amount of space we did 50 years ago ?
houve um filme sobre ele , feito recentemente .	there was sort of a movie made about it recently .
mas olhemos para alem dos meus olhos .	but let 's take a look behind my eyes .
estamos interessados em mais do que isso .	we 're interested in more than that .
e quando falamos de internet , sim , e verdade , a internet ligou-nos a todos , mas tambem sabemos que a internet criou camaras de ressonancia e guetos politicos que nos permitem ficar na comunidade politica a que pertencemos toda a vida .	and when we talk about the internet , yes , it 's true , the internet connected all of us , but we also know that the internet created these echo chambers and political ghettos in which for all your life you can stay with the political community you belong to .
o mais importante que temos de ter em mente e que a reputacao e contextual .	but the most important thing that we have to keep in mind is that reputation is largely contextual .
as possibilidades que as novas tecnologias digitais estao a trazer podem ajudar organizacoes humanitarias , nao apenas assegurar que o direito das pessoas a informacao e cumprido , ou que eles tem o direito de comunicar , mas penso que no futuro , as organizacoes humanitarias vao ter de antecipar o direito das pessoas ao acesso a tecnologias criticas de comunicacao para assegurar que as suas vozes sao ouvidas , que estao verdadeiramente a participar , que sao verdadeiramente mais poderosas no mundo humanitario .	the possibilities that new digital technologies are bringing can help humanitarian organizations , not only ensure that people 's right to information is met , or that they have their right to communicate , but i think in the future , humanitarian organizations will also have to anticipate the right for people to access critical communication technologies in order to ensure that their voices are heard , that they 're truly participating , that they 're truly empowered in the humanitarian world .
de volta a minha pergunta : porque e que fiquei ?	back to my question : why did i stay ?
muitas destas cidades estao a crescer incrivelmente depressa .	most of those cites are growing incredibly quickly .
nao podiamos resolver este problema com 50 % da populacao a assistir nas bancadas .	we could n't solve this problem with 50 percent of the population on the sidelines .
e a sua assinatura ?	is that your signature ?
nos servimos juntos no iraque e no afeganistao .	we served together in iraq and afghanistan .
os medicos e os enfermeiros tambem recebem formacao .	now , doctors and nurses — they too get trained .
e triste porque aquelas pessoas que eu descrevi , estavam muito desinteressadas do processo de aprendizagem , queriam ser professores eficientes , mas nao tinham modelos .	it 's sad because the people who i described , they were very disinterested in the learning process , want to be effective teachers , but they have no models .
`` `` '' em 20 de junho '' '' , se conseguem ler , `` 2011 . '' ''	`` `` '' on june 20th , '' '' if you can read it , `` 2011 . '' ''
nada foi feito a esta imagem .	there 's nothing done to this image .
( aplausos )	( applause )
e falamos de coisas mesmo pequenas .	and we 're talking really small here .
a tinta condutora tem sido usada por artistas , mas descobertas recentes indicam que em breve poderemos usa-la em impressoras a laser e canetas .	conductive ink has been used by artists , but recent developments indicate that we will soon be able to use it in laser printers and pens .
ora aqui esta algo sobre o envelhecimento que e um pouco universal .	so there 's something about aging that 's kind of universal .
o tipo de objectivo que queremos alcancar e que sejam digitalizados 450 livros por dia .	the type of objective we want to reach is 450 books a day that can be digitized .
`` `` '' o emblema vermelho do michael parecia que podia voar . ''	the red emblem of michael looked as if it could fly .
voz 15 : liguei a televisao .	voice 15 : so i switched on the television .
mas ha umas caracteristicas isabelinas idiossincraticas no vosso comportamento , ou jorgianas , que nos fazem compreender-vos melhor que uma molhada de tracos ,	but are there some distinctively elizabethan features of your behavior , or georgian of yours , that make us understand you better than just a bunch of traits ?
tao ambicioso como nos somos .	that 's as ambitious as we are .
se nos impedir de reparar nos problemas a nossa volta , isso e mau .	if it stops us from noticing the problems that are around us , well , that 's bad .
e mais uma vez , ele voluntariou-se para um estudo essencial que fizemos em todo o mundo , incluindo os e.u.a .	and again , he volunteered to a pivotal study that we ran worldwide , also in the u.s .
fg : porque eu quero ter uma ovacao de pe como todos os outros , portanto ...	fg : because i want to get a standing ovation like everybody , so ...
mas ha mais coisas que podemos fazer com estas caixas magicas .	but there 's more than you can do with these magic boxes .
deixem-me dizer-vos , este foi um modo estranho de barbear , porque eu pensei acerca disso e apercebi-me que a forma como me estava a barbear seria a forma como me iria barbear o resto da vida — porque eu tinha de manter o tamanho de pelo igual .	let me tell you , this was a strange way to shave , because i thought about it and i realized that the way i was shaving then would be the way i would shave for the rest of my life — because i had to keep the width the same .
mas isto nao significa que nao possamos dar uma resposta ponderada .	but this does n't mean we still ca n't give them a considered response .
a stasi era a policia secreta na republica democratica alema .	stasi was the secret police in east germany .
habituei-me com seu comportamento disfuncional .	i 've become very familiar with its dysfunctional behavior .
podemos ver as variacoes de densidade disto .	and we can see the density variations of this .
tinha uma faceta seria .	there was actually a serious note to it .
e isto tambem se aplica a nodulos linfaticos com metastases .	and this works for metastatic lymph nodes also .
e uns amigos meus e eu decidimos que isto nao fazia sentido .	and a few friends of mine and i decided this does n't make sense .
tambem e o nosso pais .	it 's our country , too .
terceira licao : usar dados para sustentar os argumentos .	third lesson : use data to drive your argument .
e o que acontece quando nos tornamos curiosos ?	and what happens when we get curious ?
`` eu interrogo-me quao frequente sao raptos de bebes dos hospitais . '' '' eu chego a casa , e procuro . ''	`` i wonder how rampant baby snatching is out of hospitals . '' '' i go home , i look it up . ''
porque e que o faco ?	so , why do i do what i do ?
( aplausos )	( applause )
e aqui esta uma das minhas pinturas .	and here is one of my paintings .
talvez eu possa ser um cineasta .	maybe i could become a filmmaker .
michael shermer : muitissimo obrigado . obrigado a todos . obrigado .	michael shermer : thank you very much . thank you . thanks .
e , tambem penso que e importante perceber que estas conversas ja duram ha algum tempo .	and i also think it 's important to realize that the conversation 's been going on for a while , by the way .
se os usarmos bem , podemos viver mais saudaveis e de modo mais belo .	and if we use them well , we can live healthier and more beautifully .
movimentos sao sobre momentos , e nos aproveitamos este momento .	movements are about moments , and we seized this moment .
eu estava la para cobrir o aniversario de 25 anos do pior acidente nuclear do mundo , como voces podem ver pelo meu olhar , eu estava relutante , e com razao , porque o fogo nuclear que ardeu durante 11 dias , em 1986 , libertou 400 vezes mais radiacao do que a bomba de hiroshima e o sarcofago , que e a cobertura sobre o reator numero quatro , que foi apressadamente construido ha 27 anos , esta rachado , enferrujado e com fugas de radiacao .	i was there covering the 25th anniversary of the world 's worst nuclear accident , as you can see by the look on my face , reluctantly so , but with good reason , because the nuclear fire that burned for 11 days back in 1986 released 400 times as much radiation as the bomb dropped on hiroshima , and the sarcophagus , which is the covering over reactor number four , which was hastily built 27 years ago , now sits cracked and rusted and leaking radiation .
efectivamente , tudo o que vou dizer a partir de agora e basicamente comparar estas familias quase identicas .	now effectively everything i 'm going to tell you from now on is only comparing these basically nearly identical families .
isto foi nos anos 90 durante o pico da epidemia de vih , antes de existirem farmacos anti-retrovirais ( arvs ) na africa subsariana .	this was in the 90s during the peak of the hiv epidemic , before there were any arvs in sub-saharan africa .
os meus amigos do twitter nao abandonaram as suas crencas ou os seus principios , apenas o seu desprezo .	my friends on twitter did n't abandon their beliefs or their principles — only their scorn .
mesmo depois deste nivel granular de controlo , e verdade que os falantes de linguas sem futuro parecem poupar mais ?	now even after all of this granular level of control , do futureless language speakers seem to save more ?
( aplausos ) ok , henry , voce tem ido a washington ultimamente ?	( applause ) okay , henry , have you been to d.c. lately ?
a resposta e fazer com que os carros venham daquele lado com seguranca .	the answer is to enable cars to come in from that side road safely .
a constituicao dos eua precisa das mulheres .	the us constitution needs women .
quando eu acabar de falar aqui , vai haver mais 864 horas de video no youtube do que quando comecei , e mais dois milhares e meio de fotos no facebook e no instagram do que quando comecei .	so by the time i 'm finished talking here , there 'll be 864 more hours of video on youtube than there were when i started , and two and a half million more photos on facebook and instagram than when i started .
foi cacado ate restarem apenas alguns que morreram em jardins zoologicos .	it was hunted until there were just a few left to die in zoos .
( aplausos )	( applause )
mas o petroleo e substituido pela bateria .	but the crude oil is replaced with a battery .
mas ainda ha meio biliao de dolares a poupar na industria como um todo .	but industry as a whole has another half-trillion dollars of energy still to save .
`` ( risos ) ao que ela respondeu : `` '' bem , sera sobre si . '' '' quero dizer , e de uma humildade incrivel . ( risos ) ''	`` ( laughter ) and she was like , `` '' well , it 'll be about you . '' '' i mean , that 's just incredible humility . ( laughter ) ''
nao e obvio o que se passa exactamente .	it 's not obvious exactly what 's going on .
eu podia conhecer a ideia de cantor de que alguns conjuntos infinitos sao maiores que outros , mas eu nao entendia o calculo por detras desta ideia .	i might know , you know , cantor 's idea that some infinite sets are larger than other infinite sets , but i did n't really understand the calculus behind that idea .
nos , todos nos , somos o que acontece quando uma mistura primordial de hidrogenio e helio evolui durante tanto tempo que comeca a questionar de onde vem .	we , all of us , are what happens when a primordial mixture of hydrogen and helium evolves for so long that it begins to ask where it came from .
agora , o mesmo mantem-se para tratamentos baseados em treino .	now , the same holds for training-based treatments .
e voces so tem que seguir estas simples , simples regras : se local , deixa o meio ambiente liderar e pensa como os nossos netos poderao construir .	and you just have to follow these simple , simple rules : be local , let the environment lead and think about how your grandchildren might build .
esta inutilidade e facilmente demonstrada , porque , de forma a ser valorizado , preciso que outro me deseje , o que demonstra que nao tenho qualquer valor so por mim proprio .	this uselessness is easily demonstrated , because in order to be valued i need another to desire me , which shows that i do not have any value of my own .
`` e voces poderiam dizer , quando entendessem a resposta a isso , `` '' bem , eu confio em alguns , mas nao em todos '' '' . ''	`` and you might say , when you understood the answer to that , `` well , i trust some of them , but not others . '' ''
nesse sentido , se definirmos nossos interesses , por exemplo , para os eua do jeito que a gra-bretanha definiu os seus no seculo xix , mantendo um sistema de comercio aberto , uma estabilidade monetaria , liberdade dos mares — essas coisas foram boas para a gra-bretanha , e foram boas para os outros tambem .	in that sense , if we define our interests , for example , for the united states the way britain defined its interests in the 19th century , keeping an open trading system , keeping a monetary stability , keeping freedom of the seas — those were good for britain , they were good for others as well .
`` e funcionou lindamente , fazendo grande sensacao nas noticias , incluindo o pinaculo do sucesso cientifico : uma publicacao na revista `` '' nature '' '' . funcionou optimamente , ano apos ano apos ano , ate que um dia falhou . ''	`` and it worked beautifully , and it made a big splash in the news , including the pinnacle of scientific success : a publication in the journal `` '' nature . '' '' it worked beautifully for year after year after year , until one year it failed . ''
quando os medicos viram este efeito de melhoria de humor da iproniazida , de inicio nao entenderam realmente o que estavam a ver .	when doctors first saw this mood-enhancing effect of iproniazid , they did n't really recognize what they saw .
e se fosse como uma conversa , por turnos , a ouvir e a falar , tal como fazemos na vida ?	what if it could be like a conversation , taking turns listening and speaking , just like we do in life ?
tenho estado em prisoes , infiltrado .	i have been undercover in the prisons .
o que escolheriam ?	what would you choose ?
sempre senti no meu amago que isto estava errado e que os introvertidos eram excelentes como eram .	and i always sensed deep down that this was wrong and that introverts were pretty excellent just as they were .
queria vir para casa e fazer uma pausa e talvez comecar de novo .	and i wanted to come home and take a break and maybe start over .
e o que temos de tentar , por fim .	and ultimately , we have to try that .
ja nao era uma crianca , mas uma jovem adolescente .	no longer a child , but a young woman .
mas toda aquela crenca tinha-me dado forca durante tanto tempo .	but all that belief had fueled me so long .
felizmente , temos uma metafora muito util : a interface do ambiente de trabalho do computador .	well , fortunately , we have a very helpful metaphor : the desktop interface on your computer .
mas ha um problema fundamental que esta a destruir os esforcos usados para combater esta doenca , porque se continuarmos apenas a dar medicamentos as pessoas que nao tem servicos de diagnostico , acaba-se por criar um problema de resistencia aos farmacos .	but there is a fundamental problem that is killing the efforts in fighting this disease , because if you keep throwing drugs out at people who do n't have diagnostic services , you end up creating a problem of drug resistance .
agora imaginem que as mulheres estao representadas aqui e os homens estao representados aqui .	now imagine that women are represented here , and men are represented here .
o james tal como voces e eu , e mais do que a pior coisa que ja fez .	now james , like you and me , is more than the worst thing he 's done .
maos no ar .	hands up .
fazer uma cronica da vida , ano apos ano vulneravel seria agarrar-se ao que era efemero , seria dar a mim mesmo e aos outros um vislumbre do futuro , independemente de la chegarmos ou nao .	to chronicle a life year by vulnerable year would be to clasp and to ground what was fleeting , would be to provide myself and others a glimpse into the future , whether we made it there or not .
isto e incrivel para mim , e por vezes quando estou nervosa , preciso de dizer algumas afirmacoes que me possam ajudar , tipo ...	that 's incredible to me , and sometimes when i 'm nervous and everything like that , i just need to , like , say some affirmations that can help me .
conseguimos recrutar em massa a baixo custo para ensaios clinicos e conseguimos fazer rastreios a uma escala populacional viavel para esta primeira fase .	we can perform low-cost mass recruitment for clinical trials , and we can make population-scale screening feasible for the first time .
e a quantidade exacta de danos que estas empresas de media sofrem sempre que uma musica ou filme e pirateado .	it 's the precise amount of harm that comes to media companies whenever a single copyrighted song or movie gets pirated .
precisamos de dados , nao precisamos de ajuda .	we need data , we do n't need help .
o valor acrescentado das nossas manufaturas e de apenas 11 % .	our manufacturing value-added is only 11 percent .
se quem tu queres ser , nao quem eles querem que sejas .	be who you to want to be , not who they want you to be .
isso e deslocamento do espaco .	that 's displacement of space .
voces ! voces estao a impor isto !	you ! you are imposing this on me !
o zumbido nao e poder nem e apenas trabalho .	the hum is not power and the hum is not work-specific .
e um grande recipiente cheio de pequenas bombas .	it 's a large canister filled with bomblets .
quantos de voces sabem fazer pao ? assim , como eu estou a fazer , sem uma maquina de fazer pao ou sem qualquer tipo de farinha instantanea ?	how many of you actually can make a bread in this way , without starting with a bread machine or just some kind of packaged flavor ?
e verdade , ha coisas como o grameen bank e os microemprestimos .	and , yes , there are things like grameen bank and micro-lending .
entao estao a afastar-se cada vez mais .	so they 're moving further apart .
e acabei por ter uma ideia .	and i came up with an idea .
nenhuma delas foi perfeita , nem sera , mas a tendencia e muito clara .	not all of them have been perfect , or will be , but the trend is very clear .
tiraram duas das minhas costelas partidas , e reconstruiram a minha medula , l1 , reconstruiram-na , e tiraram outra costela partida , e fundiram a t12 , l1 e l2 .	they took out two of my broken ribs , and they rebuilt my back , l1 , they rebuilt it , they took out another broken rib , they fused t12 , l1 and l2 together .
se fosse para mim , os meus pais diriam que eu nao estava em casa .	if it was for me , my parents would say i 'm not around .
deviamos tapar estas coisas ?	should we be covering these things ?
a qualidade do ensino e diretamente proporcional ao acesso a faculdade , ao acesso aos empregos , ao acesso ao futuro .	the quality of your education is directly proportionate to your access to college , your access to jobs , your access to the future .
e esta autoestrada e na verdade muito boa comparada com o que vemos noutros paises onde o trafego esta em explosao .	and this highway is actually quite good compared to what you see in other countries where traffic is exploding .
eu duvido , mas e um caminho a explorar .	i doubt this , but it 's worth exploring .
mesmo perante as ameacas , manteve-se autentico .	even in the face of threats , he stayed authentic .
hoje , 20 anos depois , ainda nao ha outro metodo para controlar esta doenca .	today , 20 years later , there 's still no other method to control this disease .
para mim , essa e a felicidade profunda .	to me , that is deep happiness .
o nosso mundo e definido pelo ritmo da mudanca .	our world is defined by the pace of change .
`` temos tambem artigos chamados : `` como parecer que nao estiveste a chorar em menos de 5 minutos . '' ''	`` we also have articles called `` how to look like you were n't just crying in less than five minutes . '' ''
`` ( video ) narracao : `` '' nalguns dias . '' '' nalguns dias ponho as pessoas nos seus lugares a mesa , dobro-lhes as pernas pelos joelhos , caso venham com essa funcionalidade , e prendo-as as minusculas cadeiras de madeira . ''	`` ( video ) narration : `` '' some days . '' '' some days i put the people in their places at the table , bend their legs at the knees , if they come with that feature , and fix them into the tiny wooden chairs . ''
continuamos a desenvolver prototipos e , eventualmente , decidimos que queriamos ir a caverna . estavamos prontos .	we kept prototyping , and eventually , we decided we wanted to go to the cave . we were ready .
levantem-nos . um android , um blackberry . uau !	hold it up . an android , a blackberry , wow .
sou incrivelmente afortunado por viver neste momento da historia .	it makes me incredibly fortunate to live at this moment in history .
`` ok , entao `` '' estar melhor '' '' e so um numero ? ''	ok , so is better off just a number ?
qualquer que seja o ano quando os nosso detectores estiverem finalmente com uma sensibilidade avancada — iremos construi-los , ligaremos as maquinas e , bang , vamos apanha-la — a primeira cancao do espaco .	whatever year it will be when our detectors are finally at advanced sensitivity — we 'll build them , we 'll turn on the machines and , bang , we 'll catch it — the first song from space .
e o meu pai respondeu logo que ele sabia exatamente como a eliminar .	and my father immediately replied that he knew exactly how to bleach it .
esta e uma casa personalizada , de seis pisos , na ilha de bali .	this is a six-story bespoke home on the island of bali .
`` `` '' tenho paixao no coracao . ''	i have passion in my heart .
voces nao compreendem o que e ser capaz de entrar numa sapataria e comprar o que quiser .	like , you guys do n't understand what that 's like to be able to just go into a shoe store and buy whatever you want .
sofreram com a miseria alheia ?	did you sup on others ' squalor ?
e uma dadiva . voces nao o ganharam .	it 's a gift . you have n't earned it .
no decurso do meu trabalho tenho uma grande variedade de interesses .	in the course of doing my work i sort of have a broad range of interests .
mas estariamos errados .	you would be wrong .
vejamos os riscos .	let 's have some risks .
mas no final de contas , e um caminho bastante bom .	but all in all , it 's a pretty good path .
desde jovem que vi que ter um trabalho decente e ganhar bem fazia toda a diferenca para as familias que lutavam com as dificuldades .	and i saw from a young age that having a decent job and earning a good living made the biggest difference for families who were struggling .
entao nos temos ai , o que , por volta de mais 17 anos a frente antes que a china fique maior .	so we 've got , what , 17 more years to go or so before china 's bigger .
a abordagem rigida cria apenas complicacoes na organizacao .	the hard approach creates just complicatedness in the organization .
nao dao mais seguranca a ninguem .	they do n't make anyone safer .
os jornalistas nao sao autorizados a la entrar .	journalists are not allowed here .
em breve , seremos nove mil milhoes de pessoas .	there are nine billion humans coming our way .
tirei mais fotos , e comecamos o projeto .	i took more photos , and we started the project .
e e .	and it is .
ora eu penso que e uma ideia muito bela e uma ideia muito verdadeira .	now i think that 's a very beautiful idea and a very true idea .
se a parede em torno do tecido eretil nao existisse , se nao fosse assim reforcada , a forma mudaria , mas o penis inflado nao resistiria a dobras , e a erecao simplesmente nao daria certo .	if the wall around the erectile tissue was n't there , if it was n't reinforced in this way , the shape would change , but the inflated penis would not resist bending , and erection simply would n't work .
agora , quase todos nos trabalhamos em escritorios abertos , sem paredes , onde somos sujeitos	now , most of us work in open plan offices , without walls , where we are subject to the constant noise and gaze of our coworkers .
e isso leva-me a razao por que estou aqui .	and that brings me to the reason that i 'm here .
puxamos do telemovel , nao e ?	pull out the phone , right ?
se todos os vossos carros-robo estiverem a localizar as trajetorias previstas nao darao tanta atencao a esses pacotes .	if your robot cars are all tracking the predicted trajectories , you do n't pay as much attention to those packets .
e muitos de nos , quando vemos um uniforme a passar pelo nosso bairro , sentimos curiosidade , ou mesmo preocupacao .	and most of us , when we see someone in uniform going through our neighborhoods feel curiosity , if not concern .
ou isto poderia representar o relvado de uma universidade .	or this could represent a college green .
e comecaram a reprimir uns risinhos .	and start suppressing their church giggles .
bem , imaginemos que pegamos no telescopio espacial hubble e o rodamos e o deslocamos para a orbita de marte .	well to see , let 's imagine we take the hubble space telescope and we turn it around and we move it out to the orbit of mars .
quero uma casa , quero um carro .	i want a house , and i want a car .
e , para mim , isso e triste .	and that to me is sad .
como todos voces sabem , aquele retorno do exilio , o segundo templo , remodelou o judaismo .	as you all know , that return from exile , the second temple , reshaped judaism .
ficaram chocados ao descobrir que , por cada 100 adultos que fazem parte da populacao ativa do pais , 47 deles nao obteve o primeiro nivel de capacidades numericas .	and they were shocked to find out that for every 100 working age adults in the country , 47 of them lacked level 1 numeracy skills .
nao podemos criar mais tempo , mas o tempo estica-se para acomodar o que escolhemos fazer .	we can not make more time , but time will stretch to accommodate what we choose to put into it .
ha geracoes inteiras , em todo o mundo , que se perdem , por causa da guerra .	you know , there are generations around the world who are being lost to war .
muitos anos depois , vim a reconhecer que o problema que emma enfrentara era um problema de moldura .	many years later , i had come to recognize that the problem that emma was facing was a framing problem .
e quando me sentei naquele banco teste com a areia ainda a rodopiar a minha volta , a vedacao estava exactamente ao nivel dos olhos , barrando a vista e arruinando o espectaculo a borda de agua .	and when i sat down on that test bench with sand still swirling all around me , the railing hit exactly at eye level , blocking my view and ruining my experience at the water 's edge .
