context_token_position_0;context_token_position_1;context_token_position_2;context_token_position_3;context_token_position_4;context_token_position_5;context_token_position_6;context_token_position_7;context_token_position_8;context_token_position_9;context_token_position_10;context_token_position_11;context_token_position_12;context_token_position_13;context_token_position_14;context_token_position_15;context_token_position_16;context_token_position_17;context_token_position_18;context_token_position_19;context_token_position_20;context_token_position_21;context_token_position_22;context_token_position_23;context_token_position_24;context_token_position_25;context_token_position_26;context_token_position_27;context_token_position_28;context_token_position_29;context_token_position_30;context_token_position_31;context_token_position_32;context_token_position_33;context_token_position_34;context_token_position_35;context_token_position_36;context_token_position_37;context_token_position_38;context_token_position_39;context_token_position_40;input_token_position_0;input_token_position_1;target_token_position_0;target_token_position_1
2;42;205;37;105;344;323;65;67;353;34;52;78;105;83;164;109;62;63;81;52;393;262;221;105;177;76;70;20;379;52;83;290;269;263;62;63;256;95;77;0;2;10;10;3
2;42;86;234;75;235;73;60;24;375;143;62;86;93;133;36;101;109;125;141;334;78;61;117;169;107;51;83;176;289;69;68;100;92;80;60;267;38;162;17;0;2;10;10;3
2;60;97;78;269;61;70;80;62;254;102;249;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;38;61;301;299;337;298;88;145;70;177;78;46;159;105;101;61;101;389;78;10;52;53;83;158;52;393;125;125;321;17;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;42;139;140;65;39;239;125;141;229;61;52;294;175;63;354;75;156;15;38;144;176;240;62;36;101;342;17;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;172;41;83;191;125;118;211;61;56;91;83;34;77;39;244;16;62;42;360;206;102;49;91;118;316;61;60;148;255;42;10;128;253;82;60;45;208;52;147;0;2;10;10;3
2;183;34;37;390;389;389;91;264;67;16;97;72;65;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;88;86;66;41;342;76;60;67;142;34;49;241;78;159;393;141;241;181;176;144;70;60;311;49;241;78;87;66;308;88;306;74;17;0;0;0;0;0;0;0;2;9;9;3
2;60;107;35;390;176;37;247;395;262;207;71;60;46;125;377;49;141;98;91;64;84;60;97;78;269;61;80;60;67;10;52;39;105;269;78;36;101;304;105;0;2;9;9;3
2;34;56;83;83;89;45;229;105;130;42;34;290;78;390;394;229;76;63;15;63;52;393;76;76;243;74;37;194;17;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;63;39;83;83;231;190;214;127;46;233;94;61;201;42;56;193;40;141;164;61;301;61;62;84;155;61;82;60;56;98;103;221;78;390;221;61;17;0;0;0;2;10;10;3
2;77;70;42;125;101;263;173;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;65;273;64;77;82;52;147;111;52;196;393;336;61;29;20;17;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;46;159;226;10;53;115;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;205;82;68;35;109;395;22;52;91;390;120;237;64;39;164;267;74;50;393;390;129;15;42;86;53;105;101;393;242;308;69;219;60;311;49;91;61;269;64;0;2;9;9;3
2;77;36;118;319;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;156;185;290;297;52;78;336;70;41;268;150;115;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;65;64;34;122;164;223;390;209;67;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;170;65;90;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;185;72;183;70;37;382;143;381;17;17;17;56;105;343;74;34;76;304;105;78;339;76;70;37;382;143;381;17;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;65;64;34;77;45;196;78;144;188;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;42;170;65;67;15;63;64;75;41;164;162;87;62;114;34;45;179;71;39;83;164;325;61;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;42;255;76;65;62;73;294;21;37;192;63;81;133;279;91;332;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;42;56;193;63;186;87;76;98;62;63;41;342;263;136;75;104;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;72;34;85;35;241;176;334;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;104;49;207;333;76;15;34;105;105;296;80;135;15;62;95;99;82;78;243;76;79;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;60;96;51;393;112;61;185;327;50;393;159;89;74;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;65;188;174;77;15;97;63;35;105;341;130;25;46;269;78;118;61;71;108;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;60;94;61;102;204;66;108;62;186;87;211;170;61;284;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;65;67;95;77;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;60;36;269;61;78;105;393;290;78;195;71;60;94;61;64;236;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;90;81;132;62;95;182;127;60;128;105;390;199;107;62;35;101;87;81;63;36;118;83;316;91;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;60;67;45;101;191;61;52;393;125;91;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;70;34;90;84;36;233;61;99;310;99;65;107;138;15;42;38;396;125;292;63;66;115;275;182;62;73;77;91;38;164;301;127;65;285;138;17;0;0;0;0;2;9;9;3
2;253;75;52;78;393;105;76;87;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;174;77;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;60;113;35;393;263;149;49;141;98;46;303;159;82;107;113;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;126;78;258;119;189;17;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;238;150;76;91;117;284;305;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;123;88;49;141;164;112;66;108;65;82;34;203;70;177;78;200;63;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;42;39;212;65;90;66;122;56;164;164;98;173;35;390;176;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;148;42;10;128;39;212;103;275;17;17;17;17;42;10;128;53;105;194;21;311;202;61;62;65;107;114;60;148;92;11;70;35;179;118;124;62;60;45;390;0;2;10;10;3
2;42;10;46;75;352;73;68;37;83;290;390;61;195;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;82;78;83;176;247;347;52;83;164;109;198;74;73;60;280;51;164;397;105;67;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;183;91;122;395;261;15;88;224;39;141;303;118;189;313;185;327;60;66;390;144;78;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;37;83;389;294;210;74;34;35;241;176;334;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;60;134;81;75;85;62;73;60;39;248;52;118;318;324;62;106;63;81;34;85;255;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;42;51;83;175;296;68;52;393;125;125;322;76;74;171;280;22;381;379;62;34;125;125;261;299;74;218;81;72;34;46;164;78;158;122;78;395;83;243;60;0;2;9;9;3
2;49;105;101;61;29;16;85;272;16;75;156;49;159;325;61;15;154;114;36;101;342;52;78;87;144;61;121;35;141;207;62;56;118;210;15;62;190;17;0;0;2;10;10;3
2;84;10;52;34;41;393;177;328;39;141;164;395;11;54;112;198;42;10;46;72;314;63;36;232;105;292;74;15;237;42;126;10;53;360;64;60;131;146;17;0;2;9;9;3
2;42;170;68;22;379;143;94;17;17;68;43;164;262;247;377;379;143;202;94;64;77;15;60;216;64;75;85;62;60;113;281;64;34;214;307;17;0;0;0;0;2;10;10;3
2;60;272;15;34;246;118;101;393;265;51;229;76;142;181;42;109;125;105;120;61;167;20;17;22;124;176;316;390;396;83;231;15;51;243;76;91;61;42;109;0;2;9;9;3
2;42;49;393;105;290;164;61;118;79;65;70;60;203;184;62;63;138;72;115;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;100;92;80;35;179;118;38;162;64;132;15;42;108;94;66;350;68;56;390;389;83;62;99;89;68;56;390;389;83;66;108;94;66;350;124;4;21;17;0;0;2;10;10;3
2;65;67;64;52;141;390;109;62;45;160;62;60;37;390;61;125;141;98;64;122;164;223;390;209;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;227;34;45;196;78;144;40;83;83;89;87;97;42;360;84;61;227;52;83;396;80;66;208;62;63;51;101;290;161;62;48;101;397;120;52;83;396;313;185;0;2;10;10;3
2;77;90;15;39;208;52;118;318;324;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;34;262;61;342;223;83;74;77;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;60;44;83;87;262;101;289;64;34;156;36;101;109;125;105;101;109;339;122;78;395;83;243;34;39;393;340;50;395;91;78;87;62;60;35;164;61;159;250;0;2;10;10;3
2;42;277;65;67;34;105;212;60;38;162;71;46;98;62;42;10;46;36;101;109;300;78;83;74;54;112;118;316;125;87;73;63;17;0;0;0;0;0;0;0;2;9;9;3
2;63;64;75;214;80;60;113;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;63;114;234;34;56;294;112;91;70;54;61;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;12;52;129;393;125;351;10;53;86;234;52;390;109;300;105;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;42;10;128;53;105;194;52;147;111;37;390;389;389;91;264;113;125;390;83;175;61;70;68;250;67;62;65;43;164;262;247;107;64;60;187;107;42;10;128;0;2;10;10;3
2;224;72;155;52;78;105;343;274;52;390;176;112;111;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;42;164;109;75;49;144;164;180;73;68;255;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;249;92;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;155;61;60;43;101;262;126;83;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;77;34;393;76;390;101;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;35;164;61;159;166;60;152;81;75;249;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;63;225;72;115;82;68;250;67;331;42;168;75;136;52;129;73;60;184;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;42;10;128;149;93;68;202;70;34;252;56;83;83;161;15;97;42;139;121;63;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;60;35;78;94;81;52;393;158;34;37;390;61;316;101;294;178;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;63;64;103;52;109;165;62;88;126;10;53;205;51;291;390;397;83;84;63;64;218;130;34;259;71;155;153;228;66;63;17;0;0;0;0;0;0;0;0;0;2;10;10;3
2;60;34;290;290;101;109;125;164;112;194;103;389;78;395;261;64;34;141;109;233;35;105;390;340;337;299;17;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;94;95;77;9;81;49;207;333;76;156;74;66;34;394;101;266;169;37;164;109;333;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;4;42;37;83;389;294;196;74;140;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;183;91;16;16;122;75;203;83;209;4;4;4;4;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;60;46;164;391;232;245;71;60;45;101;176;210;158;113;262;393;76;94;61;39;164;390;144;76;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;75;85;52;78;393;389;389;70;60;134;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;68;94;95;163;49;83;164;158;87;16;44;83;243;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;82;68;41;101;303;83;42;81;155;153;37;105;344;323;36;101;304;247;177;136;61;78;164;267;61;62;133;36;101;304;247;177;82;68;35;164;301;178;17;0;2;9;9;3
2;55;319;51;83;290;101;176;112;196;195;64;53;105;83;221;162;101;303;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;219;34;258;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;37;393;105;69;52;147;111;37;390;389;389;91;264;21;46;294;223;83;271;15;42;38;396;125;91;390;243;175;76;24;37;105;344;61;62;63;81;82;181;0;2;9;9;3
2;42;81;72;235;73;65;188;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;75;352;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;60;67;53;287;61;70;147;66;251;121;21;66;24;41;101;393;105;61;45;210;247;298;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
2;42;277;65;67;80;51;83;290;290;268;162;336;117;34;51;83;141;164;78;167;62;42;10;46;40;141;191;42;225;17;0;0;0;0;0;0;0;0;0;0;2;10;10;3
2;219;34;258;71;135;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;9;3
